packet_no,msg_type,src_mac,src_ip,xid,lease_time,relay_ip,dns,gateway,label,attack_type
1,OFFER,server,192.168.1.49,43186,18908,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
2,OFFER,server,192.168.1.179,70219,17802,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
3,OFFER,server,192.168.1.35,90664,37989,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
4,REQUEST,b7:d5:40:21:61:14,192.168.1.47,81786,70138,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
5,DISCOVER,06:8d:f9:92:c5:fb,0.0.0.0,91064,18767,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
6,REQUEST,b0:28:1d:30:02:94,0.0.0.0,54404,52274,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
7,ACK,server,192.168.1.163,93421,25930,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
8,DISCOVER,c6:1a:94:b9:9c:84,0.0.0.0,48848,60925,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
9,REQUEST,f8:31:14:f6:f1:ab,192.168.1.162,76592,12091,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
10,ACK,server,192.168.1.112,66418,48126,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
11,DISCOVER,87:03:1b:d4:11:2a,0.0.0.0,90932,47356,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
12,OFFER,server,192.168.1.248,75385,81239,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
13,ACK,bf:70:90:41:5d:2f,192.168.1.226,56455,71251,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
14,OFFER,server,192.168.1.54,78217,20262,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
15,DISCOVER,d6:4a:52:c1:e1:0e,0.0.0.0,64288,85307,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
16,ACK,server,192.168.1.219,66618,11088,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
17,ACK,server,192.168.1.109,9757,2024,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
18,REQUEST,83:0d:6d:36:bf:41,192.168.1.72,11533,70861,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
19,DISCOVER,8b:72:bb:56:c1:2a,0.0.0.0,1636,75847,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
20,OFFER,server,192.168.1.130,22205,74381,10.0.154.158,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
