Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.186.177.17-10.186.177.42-50228-53-6,10.186.177.17,50228,10.186.177.42,53,6,26/03/2026 11:22:21 PM,163344,6,6,32.0,297.0,30.0,0.0,5.333333333333334,12.110601416389967,296.0,0.0,49.5,120.76050678926451,2014.1541776863553,73.46459006758742,14849.454545454546,30926.471759202137,94220.0,0.0,159598.0,31919.6,67540.22064518297,152706.0,86.0,160195.0,32039.0,42308.862227670455,94220.0,0.0,0,0,0,0,132,132,36.73229503379371,36.73229503379371,0.0,296.0,25.30769230769231,81.7489904273896,6682.8974358974365,2,2,0,4,11,0,0,0,1.0,27.416666666666668,5.333333333333333,49.5,0,0,0,329,4,2115,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-58496-53-6,10.186.177.17,58496,10.186.177.42,53,6,26/03/2026 11:22:21 PM,163700,6,6,32.0,214.0,30.0,0.0,5.333333333333334,12.110601416389967,213.0,0.0,35.666666666666664,86.87615706663517,1502.748930971289,73.30482590103848,14881.818181818184,30700.747706914834,93547.0,0.0,160153.0,32030.6,67350.07149810607,152472.0,28.0,160195.0,32039.0,41949.09884014196,93547.0,0.0,0,0,0,0,132,132,36.65241295051924,36.65241295051924,0.0,213.0,18.923076923076923,58.89179560637958,3468.2435897435894,2,2,0,4,11,0,0,0,1.0,20.5,5.333333333333333,35.666666666666664,0,0,0,246,4,1583,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-62815-53-6,10.186.177.17,62815,10.186.177.42,53,6,26/03/2026 11:22:21 PM,163436,6,6,32.0,265.0,30.0,0.0,5.333333333333334,12.110601416389967,264.0,0.0,44.166666666666664,107.69664185417606,1817.2250911671847,73.42323600675493,14857.81818181818,30718.054084912936,93547.0,23.0,160176.0,32035.2,67430.05075409627,152619.0,23.0,160195.0,32039.0,42035.159836736675,93547.0,673.0,0,0,0,0,132,132,36.71161800337747,36.71161800337747,0.0,264.0,22.846153846153847,72.92444280880285,5317.974358974358,2,2,0,4,11,0,0,0,1.0,24.75,5.333333333333333,44.166666666666664,0,0,0,297,4,1907,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-51806-53-6,10.186.177.17,51806,10.186.177.42,53,6,26/03/2026 11:23:13 PM,174991,6,6,47.0,239.0,45.0,0.0,7.833333333333334,18.225440095280735,238.0,0.0,39.83333333333333,97.08226751918532,1634.3697675880474,68.57495528341457,15908.272727272728,28864.088019859242,94730.0,0.0,162743.0,32548.6,64678.443977108785,148061.0,14.0,166522.0,33304.4,38648.61250161511,94730.0,0.0,0,0,0,0,132,132,34.287477641707284,34.287477641707284,0.0,238.0,22.0,66.06940794851023,4365.166666666667,2,2,0,4,11,0,0,0,1.0,23.833333333333332,7.833333333333333,39.833333333333336,0,0,0,286,4,1862,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-61028-53-6,10.186.177.17,61028,10.186.177.42,53,6,26/03/2026 11:23:13 PM,185830,6,6,47.0,174.0,45.0,0.0,7.833333333333334,18.225440095280735,173.0,0.0,28.999999999999996,70.54643860606997,1189.2590001614378,64.57514933003283,16893.636363636364,31149.570290046464,98844.0,0.0,180981.0,36196.2,71138.85783592536,163217.0,18.0,177903.0,35580.6,43035.65092803872,98844.0,0.0,0,0,0,0,132,132,32.287574665016415,32.287574665016415,0.0,173.0,16.999999999999996,48.47851757909545,2350.1666666666665,2,2,0,4,11,0,0,0,1.0,18.416666666666668,7.833333333333333,29.0,0,0,0,221,4,1283,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-59064-53-6,10.186.177.17,59064,10.186.177.42,53,6,26/03/2026 11:23:13 PM,188993,6,6,32.0,184.0,30.0,0.0,5.333333333333334,12.110601416389967,183.0,0.0,30.666666666666664,74.62885947585335,1142.8994724672343,63.49441513706857,17181.181818181816,30851.81756013147,98185.0,0.0,179788.0,35957.6,70788.57032600674,162351.0,37.0,181533.0,36306.6,42069.46736411099,98185.0,0.0,0,0,0,0,132,132,31.747207568534286,31.747207568534286,0.0,183.0,16.615384615384617,50.66645580253017,2567.089743589743,2,2,0,4,11,0,0,0,1.0,18.0,5.333333333333333,30.666666666666668,0,0,0,216,4,1260,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-53826-53-6,10.186.177.17,53826,10.186.177.42,53,6,26/03/2026 11:23:13 PM,188962,6,6,32.0,169.0,30.0,0.0,5.333333333333334,12.110601416389967,168.0,0.0,28.166666666666664,68.50523094382403,1063.705930292863,63.50483165927541,17178.363636363636,30599.52040889767,97266.0,0.0,179595.0,35919.0,70536.92996225452,161855.0,62.0,181311.0,36262.2,41752.844288742774,97266.0,0.0,0,0,0,0,132,132,31.752415829637705,31.752415829637705,0.0,168.0,15.461538461538462,46.5664675215535,2168.435897435897,2,2,0,4,11,0,0,0,1.0,16.75,5.333333333333333,28.166666666666668,0,0,0,201,4,1173,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-64493-53-6,10.186.177.17,64493,10.186.177.42,53,6,26/03/2026 11:23:13 PM,198895,6,6,47.0,186.0,45.0,0.0,7.833333333333334,18.225440095280735,185.0,0.0,31.000000000000004,75.44534445544006,1171.4723849267202,60.33334171296413,18081.363636363636,38038.53707300723,127364.0,0.0,192912.0,38582.4,78328.15894555418,178551.0,31.0,190772.0,38154.4,52866.008297392764,127364.0,0.0,0,0,0,0,132,132,30.166670856482064,30.166670856482064,0.0,185.0,17.92307692307692,51.70341951692934,2673.2435897435894,2,2,0,4,11,0,0,0,1.0,19.416666666666668,7.833333333333333,31.0,0,0,0,233,4,1264,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-65252-53-6,10.186.177.17,65252,10.186.177.42,53,6,26/03/2026 11:23:13 PM,156884,6,6,31.0,209.0,29.0,0.0,5.166666666666667,11.703275894665845,208.0,0.0,34.83333333333333,84.83493777133727,1529.7927130873768,76.48963565436884,14262.181818181818,20770.984535251002,53332.0,0.0,150069.0,30013.8,58379.062190138,134206.0,49.0,148163.0,29632.6,26389.804599503954,58597.0,0.0,0,0,0,0,132,132,38.24481782718442,38.24481782718442,0.0,208.0,18.46153846153846,57.503065693079044,3306.6025641025644,2,2,0,4,11,0,0,0,1.0,20.0,5.166666666666667,34.833333333333336,0,0,0,240,4,1705,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.186.177.17-10.186.177.42-56231-53-6,10.186.177.17,56231,10.186.177.42,53,6,26/03/2026 11:23:13 PM,169406,6,6,31.0,180.0,29.0,0.0,5.166666666666667,11.703275894665845,179.0,0.0,30.0,72.99589029527621,1245.5284936779099,70.83574371627924,15400.545454545452,25089.90436156996,78721.0,0.0,165567.0,33113.4,65037.90105238637,149241.0,36.0,161171.0,32234.2,32682.238283202085,78721.0,0.0,0,0,0,0,132,132,35.41787185813962,35.41787185813962,0.0,179.0,16.230769230769234,49.5498971511779,2455.192307692308,2,2,0,4,11,0,0,0,1.0,17.583333333333332,5.166666666666667,30.0,0,0,0,211,4,1349,0,0,0,0,65535,128,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
