Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.136.97.137-10.136.97.71-62219-443-6,10.136.97.137,62219,10.136.97.71,443,6,22/04/2026 10:37:54 PM,6179,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.6769703835572,6179.0,0.0,6179.0,6179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,161.8384851917786,161.8384851917786,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-52656-443-6,10.136.97.137,52656,10.136.97.71,443,6,22/04/2026 10:37:54 PM,20501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55621676991368,20501.0,0.0,20501.0,20501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,48.77810838495684,48.77810838495684,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-51090-443-6,10.136.97.137,51090,10.136.97.71,443,6,22/04/2026 10:37:54 PM,42076,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.53303545964445,42076.0,0.0,42076.0,42076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,23.766517729822223,23.766517729822223,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-62219-443-6,10.136.97.137,62219,10.136.97.71,443,6,22/04/2026 10:37:55 PM,5604,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8879371877231,5604.0,0.0,5604.0,5604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,178.44396859386154,178.44396859386154,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-52656-443-6,10.136.97.137,52656,10.136.97.71,443,6,22/04/2026 10:37:55 PM,13731,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.65581530842618,13731.0,0.0,13731.0,13731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,72.82790765421309,72.82790765421309,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-51090-443-6,10.136.97.137,51090,10.136.97.71,443,6,22/04/2026 10:37:55 PM,32603,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3440480937337,32603.0,0.0,32603.0,32603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,30.67202404686685,30.67202404686685,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-62219-443-6,10.136.97.137,62219,10.136.97.71,443,6,22/04/2026 10:37:55 PM,9957,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.8637139700713,9957.0,0.0,9957.0,9957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,100.43185698503564,100.43185698503564,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-52656-443-6,10.136.97.137,52656,10.136.97.71,443,6,22/04/2026 10:37:55 PM,14438,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.52334118298933,14438.0,0.0,14438.0,14438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,69.26167059149466,69.26167059149466,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-51090-443-6,10.136.97.137,51090,10.136.97.71,443,6,22/04/2026 10:37:56 PM,8312,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.61597690086623,8312.0,0.0,8312.0,8312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,120.30798845043311,120.30798845043311,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.136.97.137-10.136.97.71-62219-443-6,10.136.97.137,62219,10.136.97.71,443,6,22/04/2026 10:37:56 PM,4483,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.1298237787196,4483.0,0.0,4483.0,4483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,223.0649118893598,223.0649118893598,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
