Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.223.247.66-10.223.247.251-68-67-17,10.223.247.66,68,10.223.247.251,67,17,24/04/2026 02:45:46 PM,64997871,2,0,600.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,9.231071583867724,0.030770238612892412,6.4997871E7,0.0,6.4997871E7,6.4997871E7,6.4997871E7,6.4997871E7,0.0,6.4997871E7,6.4997871E7,0,0,0,0,0,0,0,0,0,16,0,0.030770238612892412,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,450.0,300.0,0.0,0,0,0,0,0,0,2,600,0,0,0,0,1,8,0,0,0,0,6.4997871E7,0.0,6.4997871E7,6.4997871E7,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 02:45:57 PM,114197733,21,16,12427.0,10484.0,1069.0,4.0,591.7619047619046,371.3389159193937,1016.0,477.0,655.25,174.63924721169255,200.6256989357223,0.3239994265035016,3172159.2499999995,7450821.468129507,3.0103728E7,8.0,1.14196409E8,5709820.45,9377416.534045676,3.0103728E7,8.0,1.1419248E8,7612832.0,1.215559077401548E7,3.4288769E7,2482.0,0,0,0,0,168,128,0.1838915663938793,0.1401078601096223,4.0,1069.0,603.0263157894736,312.810666062198,97850.51280227593,0,0,0,0,0,0,0,0,0.0,619.3243243243244,591.7619047619048,655.25,0,0,0,3440,5,9311,2,1380,1,1164,0,0,20,8,3310302.25,2957622.2794157215,7165000.0,118259.0,2.0187812E7,7690437.160727308,3.0103728E7,1.0004288E7,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 02:46:00 PM,115523840,21,16,12854.0,10058.0,1068.0,4.0,612.0952380952382,363.24508320993203,1016.0,477.0,628.625,146.79413021870687,198.331357406402,0.3202802122921122,3208995.5555555555,6330940.2514182795,2.4183311E7,260.0,1.15521788E8,5776089.4,7663798.1016436415,2.418614E7,380.0,1.15523161E8,7701544.066666666,1.3130365088595646E7,3.8756789E7,1812.0,0,0,0,0,168,128,0.18178066103065824,0.1384995512614539,4.0,1068.0,626.3684210526317,286.4521488318992,82054.83357041252,0,0,0,0,0,0,0,0,0.0,643.2972972972973,612.0952380952381,628.625,0,0,0,3523,5,19972,1,1071,1,838,0,0,20,8,3196954.75,3466071.445491122,6595679.0,106636.0,1.465271657142857E7,6351692.562186079,2.4183311E7,5022046.0,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 02:47:57 PM,102846912,18,12,10031.0,7619.0,1069.0,4.0,557.2777777777778,376.3072595562983,1016.0,477.0,634.9166666666666,168.76420254487047,171.61429212381213,0.2916956806637033,3546445.241379311,5797742.115600912,2.1154712E7,10.0,1.02844417E8,6049671.5882352935,6585324.746676706,2.1154712E7,10.0,9.196998E7,8360907.2727272725,9054641.374848062,2.279961E7,50195.0,0,0,0,0,144,96,0.175017408398222,0.11667827226548133,4.0,1069.0,569.4838709677421,321.1670251824059,103148.25806451615,0,0,0,0,0,0,0,0,0.0,588.4666666666667,557.2777777777778,634.9166666666666,0,0,0,3647,5,7193,1,1003,1,761,0,0,17,8,1854351.3333333333,2746500.203320485,6295177.0,1449.0,1.145858125E7,5502525.660197345,2.1154712E7,6761824.0,NeedManualLabel
10.223.247.66-10.223.247.251-68-67-17,10.223.247.66,68,10.223.247.251,67,17,24/04/2026 02:47:56 PM,64411075,2,0,600.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,9.315168237760355,0.031050560792534515,6.4411075E7,0.0,6.4411075E7,6.4411075E7,6.4411075E7,6.4411075E7,0.0,6.4411075E7,6.4411075E7,0,0,0,0,0,0,0,0,0,16,0,0.031050560792534515,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,450.0,300.0,0.0,0,0,0,0,0,0,2,600,0,0,0,0,1,8,0,0,0,0,6.4411075E7,0.0,6.4411075E7,6.4411075E7,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 02:48:08 PM,96443294,19,13,11244.0,8635.0,1189.0,4.0,591.7894736842104,364.04984074946054,1016.0,477.0,664.2307692307693,180.32662672964386,206.12112232500064,0.3318011929372715,3111074.0000000005,5162921.952873999,1.8713167E7,21.0,9.644183E7,5357879.444444446,5916896.211378179,1.8713167E7,21.0,8.9585319E7,7465443.249999999,9291202.014558671,2.7336333E7,243.0,0,0,0,0,152,104,0.19700695830650497,0.13479423463076656,4.0,1189.0,617.727272727273,297.34095251992204,88411.64204545454,0,0,0,0,0,0,0,0,0.0,637.03125,591.7894736842105,664.2307692307693,0,0,0,3293,4,14437,1,1022,1,785,0,0,18,8,1494125.5,2115841.4615716133,5247188.0,71458.0,1.0503961E7,4995691.919581682,1.8713167E7,5407816.0,NeedManualLabel
10.223.247.131-10.223.247.162-42147-18514-17,10.223.247.131,42147,10.223.247.162,18514,17,24/04/2026 02:49:33 PM,119951780,5675,5189,975941.0,892508.0,172.0,13.0,171.9719823788546,2.110640130887911,172.0,172.0,172.0,0.0,15576.667557580222,90.56972726874082,11042.233268894413,53309.97576602766,1496808.0,-341.0,1.1994204E8,21138.886147338733,76648.11581892928,1505487.0,6.0,1.19621544E8,23057.35235158056,77838.05248495891,1497192.0,7.0,0,0,0,0,45400,41512,47.31067767397866,43.25904959476216,13.0,172.0,171.97073170731684,2.1571347154690663,4.65323018068181,0,0,0,0,0,0,0,0,0.0,171.98656111929307,171.97198237885462,172.0,0,0,0,266921,1552,16535,945,162656,864,148751,0,0,5674,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.223.247.145-10.223.247.162-41163-18404-17,10.223.247.145,41163,10.223.247.162,18404,17,24/04/2026 02:49:33 PM,119924298,5192,5676,892865.0,976272.0,172.0,13.0,171.96937596301993,2.2066313420721415,172.0,172.0,172.0,0.0,15585.974078414036,90.62383671405773,11035.639826999157,53252.49970786396,1497069.0,-269.0,1.19922918E8,23102.083991523737,77746.0379369168,1497069.0,6.0,1.18918282E8,20954.76334801753,75483.46864827911,1506679.0,7.0,0,0,0,0,41536,45408,43.293978673112605,47.32985804094513,13.0,172.0,171.97074247860866,2.1567377820509686,4.6515178605261305,0,0,0,0,0,0,0,0,1.0,171.98656606551344,171.96937596302004,172.0,0,0,0,267019,1552,16546,865,148810,946,162712,0,0,5191,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.223.247.131-10.223.247.162-42147-18515-17,10.223.247.131,42147,10.223.247.162,18515,17,24/04/2026 02:49:35 PM,118677750,24,24,1440.0,2400.0,60.0,60.0,60.0,0.0,100.0,100.0,100.0,0.0,32.356528498391654,0.40445660622989565,2525058.510638298,1171281.0880112327,5000673.0,102598.0,1.16495793E8,5065034.47826087,912186.3948895171,6388785.0,2662934.0,1.1499998E8,4999999.130434782,1217.7272162198915,5002951.0,4997077.0,0,0,0,0,192,192,0.20222830311494783,0.20222830311494783,60.0,100.0,79.5918367346939,20.203050891044214,408.16326530612236,0,0,0,0,0,0,0,0,1.0,81.25,60.0,100.0,0,0,0,0,0,0,0,33,0,55,0,0,23,8,3677770.0,0.0,3677770.0,3677770.0,5000673.0,0.0,5000673.0,5000673.0,NeedManualLabel
10.223.247.145-10.223.247.162-41163-18405-17,10.223.247.145,41163,10.223.247.162,18405,17,24/04/2026 02:49:35 PM,118401833,22,24,1320.0,2400.0,60.0,60.0,60.0,0.0,100.0,100.0,100.0,0.0,31.41843251700335,0.3885074988661704,2631151.8444444444,1399824.283035114,5001796.0,56311.0,1.11027021E8,5287001.0,1229638.4805555656,8984877.0,3058402.0,1.14999544E8,4999980.173913043,1275.0259766399342,5002704.0,4997987.0,0,0,0,0,176,192,0.1858079342403424,0.20269956462582805,60.0,100.0,80.42553191489363,20.21164610559645,408.51063829787216,0,0,0,0,0,0,0,0,1.0,82.17391304347827,60.0,100.0,0,0,0,0,0,0,0,34,0,63,0,0,21,8,4.9200773E7,1.301203756603861E7,5.8401673E7,3.9999873E7,5001197.0,847.113923861484,5001796.0,5000598.0,NeedManualLabel
