Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:06:55 PM,117264692,21,17,13634.0,11015.0,1069.0,4.0,649.2380952380952,335.56577667603483,1014.0,477.0,647.9411764705882,171.5712208487467,210.199673743227,0.32405321117459635,3169315.9999999995,6460182.315864722,2.3750031E7,8.0,1.17259228E8,5862961.4,7937976.775817867,2.3750031E7,8.0,1.17263899E8,7328993.687500001,1.1361396482210666E7,3.9831513E7,727.0,0,0,0,0,168,136,0.1790820377543822,0.14497117342021415,4.0,1069.0,654.7435897435896,270.37875169051654,73104.66936572199,0,0,0,0,0,0,0,0,0.0,671.9736842105264,649.2380952380952,647.9411764705883,0,0,0,3174,4,7282,2,1363,1,1101,0,0,20,8,1495431.3333333333,1984198.930904023,5325028.0,202733.0,1.3535795625E7,7406350.6524716625,2.3750031E7,5218616.0,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:07:08 PM,109170533,21,16,12796.0,10002.0,1068.0,4.0,609.3333333333333,366.3659827731463,1016.0,477.0,625.1250000000001,143.4502817471382,208.82924515903937,0.3389192942751319,3032514.8055555546,6325067.037361232,2.4037763E7,19.0,1.09170533E8,5458526.649999999,7906934.372508498,2.4983852E7,19.0,1.00308786E8,6687252.399999999,1.1346815104361732E7,3.983675E7,1463.0,0,0,0,0,168,128,0.19235959945345324,0.14655969482167866,4.0,1068.0,600.0526315789475,301.36159006393075,90818.80796586063,0,0,0,0,0,0,0,0,0.0,616.2702702702703,609.3333333333334,625.125,0,0,0,4520,6,4572,2,1421,1,1111,0,0,20,8,1447190.1666666667,1954079.8868681306,5322421.0,772.0,1.3711204428571427E7,7909631.706698082,2.4037763E7,5255501.0,NeedManualLabel
10.223.247.66-255.255.255.255-68-67-17,10.223.247.66,68,255.255.255.255,67,17,24/04/2026 03:07:12 PM,63025835,2,0,600.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,9.519905606962604,0.03173301868987535,6.3025835E7,0.0,6.3025835E7,6.3025835E7,6.3025835E7,6.3025835E7,0.0,6.3025835E7,6.3025835E7,0,0,0,0,0,0,0,0,0,16,0,0.03173301868987535,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,450.0,300.0,0.0,0,0,0,0,0,0,2,600,0,0,0,0,1,8,0,0,0,0,6.3025835E7,0.0,6.3025835E7,6.3025835E7,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,24/04/2026 03:07:51 PM,112421402,2,0,578.0,0.0,289.0,289.0,289.0,0.0,0,0,0,0,5.1413697900689765,0.01779020688605182,1.12421402E8,0.0,1.12421402E8,1.12421402E8,1.12421402E8,1.12421402E8,0.0,1.12421402E8,1.12421402E8,0,0,0,0,0,0,0,0,0,16,0,0.01779020688605182,0.0,289.0,289.0,289.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,433.5,289.0,0.0,0,0,0,0,0,0,2,578,0,0,0,0,1,8,0,0,0,0,1.12421402E8,0.0,1.12421402E8,1.12421402E8,NeedManualLabel
10.223.247.31-224.0.0.251-5353-5353-17,10.223.247.31,5353,224.0.0.251,5353,17,24/04/2026 03:08:08 PM,20319991,9,0,1360.0,0.0,268.0,129.0,151.11111111111114,44.47033967838689,0,0,0,0,66.92916350209013,0.44291358199912584,2539998.875,4352630.971806015,1.3312192E7,985197.0,2.0319991E7,2539998.875,4352630.971806015,1.3312192E7,985197.0,0,0,0,0,0,0,0,0,0,72,0,0.44291358199912584,0.0,129.0,268.0,162.79999999999998,55.89434477456353,3124.177777777777,0,0,0,0,0,0,0,0,0.0,180.88888888888889,151.11111111111111,0.0,0,0,0,0,0,0,1,272,0,0,0,0,8,8,0,0,0,0,1.3312192E7,0.0,1.3312192E7,1.3312192E7,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:08:57 PM,96290269,10,14,6669.0,9006.0,1069.0,4.0,666.9,346.80780780650764,927.0,506.0,643.2857142857143,161.5708601733086,162.78903530739956,0.24924636984865003,4186533.434782609,7412907.610617337,2.405467E7,7.0,9.6290269E7,1.069891877777778E7,1.3527884491103549E7,3.9877835E7,7.0,7.6773792E7,5905676.307692308,8170692.568394221,2.405467E7,101189.0,0,0,0,0,80,112,0.10385265410360418,0.14539371574504587,4.0,1069.0,627.1600000000001,276.1045514534907,76233.72333333331,0,0,0,0,0,0,0,0,1.0,653.2916666666666,666.9,643.2857142857143,0,0,0,3309,4,3907,1,1111,2,1501,0,0,9,8,1672114.75,2294928.4425964677,4969586.0,24170.0,1.7455166E7,4131219.7228153455,2.405467E7,1.4295635E7,NeedManualLabel
10.223.247.66-10.223.247.162-5060-5060-17,10.223.247.66,5060,10.223.247.162,5060,17,24/04/2026 03:07:34 PM,117012327,3,4,1220.0,2103.0,407.0,406.0,406.6666666666667,0.5773502691896257,526.0,525.0,525.75,0.5000000000000062,28.39871734197714,0.0598227569647427,1.95020545E7,3.712494202106175E7,9.3544858E7,1627.0,1.13865715E8,5.69328575E7,5.178118704866493E7,9.3547686E7,2.0318029E7,1.17009499E8,3.900316633333333E7,4.8009990130402E7,9.3546485E7,3144951.0,0,0,0,0,24,32,0.025638324413461155,0.03418443255128154,406.0,526.0,466.25,63.60985997244677,4046.214285714286,0,0,0,0,0,0,0,0,1.0,532.8571428571429,406.6666666666667,525.75,0,0,0,0,0,0,1,406,1,701,0,0,2,8,2227.5,849.2352442050436,2828.0,1627.0,5.693063E7,5.178033781342072E7,9.3544858E7,2.0316402E7,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:09:16 PM,99935352,10,9,6393.0,6099.0,886.0,4.0,639.3000000000001,352.70543265198256,1016.0,477.0,677.6666666666666,201.899108467571,125.00081052398755,0.19012291065928302,5551963.999999999,1.3698976360403692E7,5.4685944E7,546.0,9.9935352E7,1.1103928E7,2.0168517920895655E7,6.0341656E7,6476.0,7.5754412E7,9469301.5,1.8998482609521154E7,5.4685944E7,5170.0,0,0,0,0,80,72,0.10006468982067528,0.09005822083860775,4.0,1016.0,668.9000000000001,281.19124415506553,79068.51578947369,0,0,0,0,0,0,0,0,0.0,704.1052631578947,639.3,677.6666666666666,0,0,0,5198,7,19256,2,1278,1,1219,0,0,9,8,1429600.3333333333,2020785.6509034631,3748929.0,48327.0,2.391163775E7,2.1938452156565048E7,5.4685944E7,5654584.0,NeedManualLabel
10.223.247.66-255.255.255.255-68-67-17,10.223.247.66,68,255.255.255.255,67,17,24/04/2026 03:09:19 PM,64072528,2,0,600.0,0.0,300.0,300.0,300.0,0.0,0,0,0,0,9.364387807517131,0.0312146260250571,6.4072528E7,0.0,6.4072528E7,6.4072528E7,6.4072528E7,6.4072528E7,0.0,6.4072528E7,6.4072528E7,0,0,0,0,0,0,0,0,0,16,0,0.0312146260250571,0.0,300.0,300.0,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,450.0,300.0,0.0,0,0,0,0,0,0,2,600,0,0,0,0,1,8,0,0,0,0,6.4072528E7,0.0,6.4072528E7,6.4072528E7,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,24/04/2026 03:10:18 PM,81526846,5,0,1508.0,0.0,322.0,289.0,301.6,12.441864811996632,0,0,0,0,18.496974603923718,0.06132949139232002,2.03817115E7,2.4143742172441404E7,5.2503078E7,241519.0,8.1526846E7,2.03817115E7,2.4143742172441404E7,5.2503078E7,241519.0,0,0,0,0,0,0,0,0,0,40,0,0.06132949139232002,0.0,289.0,322.0,305.0,13.899640283115243,193.2,0,0,0,0,0,0,0,0,0.0,366.0,301.6,0.0,0,0,0,0,0,0,1,502,0,0,0,0,4,8,0,0,0,0,3.89194985E7,1.9210082354473144E7,5.2503078E7,2.5335919E7,NeedManualLabel
