Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:29:23 PM,108988899,18,14,11031.0,8984.0,1069.0,4.0,612.8333333333333,357.37494727691325,1016.0,477.0,641.7142857142859,150.24719558188025,183.64255611023285,0.2936078838634749,3515770.9354838715,7200408.7234207615,3.0007104E7,259.0,1.08988246E8,6411073.294117647,8826354.009106923,3.0007104E7,4817.0,1.08946173E8,8380474.846153846,1.5258429443583738E7,4.9914736E7,15850.0,0,0,0,0,144,112,0.16515443467320465,0.12845344919027027,4.0,1069.0,628.1212121212121,278.3124096199895,77457.79734848485,0,0,0,0,0,0,0,0,0.0,647.75,612.8333333333334,641.7142857142857,0,0,0,3595,5,25055,2,1225,1,998,0,0,17,8,3215624.75,4012587.694109989,8471859.0,34172.0,1.6006537833333334E7,8449676.027713332,3.0007104E7,6299249.0,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:29:28 PM,109408730,17,13,10319.0,8356.0,1068.0,4.0,607.0,358.22025347542814,1014.0,477.0,642.7692307692307,157.19157836122233,170.69021823030027,0.27420115378361487,3772714.8275862066,7554214.550767695,3.0027536E7,329.0,1.09406712E8,6837919.500000001,9196182.831957782,3.0027536E7,15030.0,1.09407704E8,9117308.666666668,1.690739140048683E7,5.4491978E7,117715.0,0,0,0,0,136,104,0.15538065381071509,0.11882049997289978,4.0,1068.0,625.4193548387095,280.89200465582843,78900.31827956992,0,0,0,0,0,0,0,0,0.0,646.2666666666667,607.0,642.7692307692307,0,0,0,3221,4,10781,1,1031,1,835,0,0,16,8,2261225.0,3632402.410132537,7661847.0,2743.0,1.431704342857143E7,9589536.27389797,3.0027536E7,5777755.0,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:31:23 PM,111712846,11,8,6251.0,5168.0,887.0,4.0,568.2727272727273,355.2771005592932,1016.0,477.0,646.0,160.65313122198577,102.21742985582875,0.17007891822933238,6206269.222222224,1.2237935246378656E7,4.6682398E7,412.0,1.11706276E8,1.11706276E7,1.4893008087704819E7,4.6683023E7,2501.0,8.4848008E7,1.2121144E7,1.916244431362671E7,5.4287835E7,138464.0,0,0,0,0,88,64,0.09846674213277137,0.071612176096561,4.0,1016.0,571.1500000000001,308.6007939069503,95234.45,0,0,0,0,0,0,0,0,0.0,601.2105263157895,568.2727272727273,646.0,0,0,0,3022,4,14238,1,893,1,738,0,0,10,8,1284582.5,2288737.139288899,4713283.0,576.0,1.7761324333333332E7,1.62939411526803E7,4.6682398E7,5133757.0,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:31:29 PM,118956875,16,11,8083.0,7325.0,1068.0,4.0,505.1875,379.90651810675746,1016.0,550.0,665.9090909090909,157.34894632342127,129.52593114101225,0.22697301017700744,4575264.423076923,7882815.992828472,2.999673E7,318.0,1.18956875E8,7930458.333333334,9106888.794173058,2.999673E7,57627.0,9.7611333E7,9761133.3,1.6298832416698614E7,5.4004206E7,110142.0,0,0,0,0,128,88,0.13450252454933773,0.0924704856276697,4.0,1068.0,550.4285714285713,327.1961048137508,107057.29100529103,0,0,0,0,0,0,0,0,0.0,570.8148148148148,505.1875,665.9090909090909,0,0,0,3346,4,13346,1,898,1,813,0,0,15,8,2571433.25,4974326.330789017,1.0032635E7,22822.0,1.5493554285714285E7,7959063.00215144,2.999673E7,7128561.0,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:33:23 PM,115615084,15,11,8403.0,6927.0,1069.0,4.0,560.1999999999999,410.0808631059419,931.0,556.0,629.7272727272727,105.82824850586059,132.59515514428895,0.2248841509296486,4624603.359999999,8247210.836379139,2.8029543E7,236.0,1.15610168E8,8257869.142857142,9709317.983329462,2.8030369E7,10098.0,1.11312597E8,1.11312597E7,1.685962100248156E7,5.4126284E7,39318.0,0,0,0,0,120,88,0.1297408563055665,0.0951432946240821,4.0,1069.0,567.9259259259258,329.75782791500956,108740.22507122507,0,0,0,0,0,0,0,0,0.0,589.7692307692307,560.2,629.7272727272727,0,0,0,3245,4,18896,1,933,1,769,0,0,14,8,2309541.0,2173589.3323279815,4610815.0,64661.0,1.73250525E7,8061940.37619172,2.8029543E7,8088232.0,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:33:36 PM,113007521,15,10,8434.0,5814.0,1068.0,4.0,562.2666666666668,409.9695923683446,656.0,477.0,581.4,53.6556924597319,126.08010399591015,0.22122421391758518,4708646.708333332,9052758.871422939,2.7710913E7,317.0,1.13007521E8,8071965.785714286,1.0759910485631498E7,2.7711246E7,123058.0,1.08319574E8,1.2035508222222222E7,1.833417072217371E7,5.4628296E7,72761.0,0,0,0,0,120,80,0.1327345283505511,0.08848968556703407,4.0,1068.0,582.0384615384615,314.74529140487306,99064.59846153847,0,0,0,0,0,0,0,0,0.0,605.32,562.2666666666667,581.4,0,0,0,3950,5,7106,1,1054,1,726,0,0,14,8,1346626.0,1585460.7022315837,3088855.0,537.0,2.04862016E7,8462404.07210896,2.7710913E7,7090352.0,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:35:31 PM,108866852,12,8,7024.0,5238.0,886.0,4.0,585.3333333333334,386.70362937228424,1014.0,477.0,654.75,156.6285414603609,112.63299870193731,0.18371064867384979,5729834.315789473,9002980.877404433,2.9694288E7,379.0,1.08866371E8,9896942.818181818,1.0067340416978199E7,2.9694288E7,438.0,1.08865671E8,1.5552238714285715E7,1.931897094836446E7,5.4163365E7,17976.0,0,0,0,0,96,64,0.11022638920430987,0.07348425946953992,4.0,1014.0,617.8571428571429,304.0804639752915,92464.92857142855,0,0,0,0,0,0,0,0,0.0,648.75,585.3333333333334,654.75,0,0,0,2963,4,17015,1,1003,1,748,0,0,11,8,175333.75,155223.18044754138,375234.0,2712.0,1.5449594571428573E7,8283832.963221712,2.9694288E7,5808718.0,NeedManualLabel
10.223.247.131-10.223.247.162-49251-5060-17,10.223.247.131,49251,10.223.247.162,5060,17,24/04/2026 03:35:50 PM,108457431,14,11,8403.0,7013.0,1068.0,4.0,600.2142857142857,394.6547037155837,931.0,556.0,637.5454545454545,103.71052370551762,142.13871615675646,0.23050518318103994,4519059.625,8387699.474672209,2.9996852E7,304.0,1.0845655E8,8342811.538461538,1.0074296818948172E7,2.9996852E7,7027.0,1.08457127E8,1.0845712700000001E7,1.889379347929374E7,5.40502E7,30312.0,0,0,0,0,112,88,0.12908290258138236,0.10142228059965758,4.0,1068.0,627.0384615384614,297.4025528833578,88448.27846153844,0,0,0,0,0,0,0,0,0.0,652.12,600.2142857142857,637.5454545454545,0,0,0,3514,5,18946,2,1200,1,1001,0,0,13,8,789611.6666666667,1142795.7514544467,2109177.0,123300.0,1.7657733666666668E7,6851068.1485098265,2.9996852E7,9509752.0,NeedManualLabel
10.223.247.66-10.223.247.162-5060-5060-17,10.223.247.66,5060,10.223.247.162,5060,17,24/04/2026 03:31:21 PM,89107380,1810,912,679927.0,427332.0,428.0,367.0,375.6502762430941,4.677175142000071,793.0,462.0,468.5657894736846,17.73224603767672,12426.120036297778,30.54741369345614,32748.026460859994,1114607.6823321907,5.6065812E7,6.0,8.9106887E7,49257.53841901608,1366859.8294421944,5.6065812E7,6.0,8.9105823E7,97811.0021953896,1926220.5104848633,5.6080042E7,1107.0,0,0,0,0,14480,7296,20.312571192195303,10.234842501260838,367.0,793.0,406.78222548659573,45.20168640629075,2043.1924539726494,0,0,0,0,0,0,0,0,0.0,406.93166789125644,375.6502762430939,468.5657894736842,0,0,0,368421,906,132363,452,169981,228,106833,0,0,1809,8,2781499.6666666665,4809313.27580158,8334815.0,1557.0,2.5351740333333336E7,2.6757913380701087E7,5.6065812E7,7084330.0,NeedManualLabel
10.223.247.145-10.223.247.162-46588-5060-17,10.223.247.145,46588,10.223.247.162,5060,17,24/04/2026 03:37:31 PM,97640049,16,11,8530.0,6775.0,1069.0,4.0,533.125,391.5080033238997,1014.0,477.0,615.9090909090909,141.57786164895597,156.7492044171342,0.27652587515600285,3755386.5,6333530.482874172,2.0828344E7,320.0,9.7639331E7,6509288.733333332,7326735.118119055,2.0836887E7,3600.0,9.0491998E7,9049199.8,9734048.291160945,2.5919233E7,193992.0,0,0,0,0,128,88,0.1638671852776313,0.11265868987837152,4.0,1069.0,546.75,324.8806761007858,105547.4537037037,0,0,0,0,0,0,0,0,0.0,567.0,533.125,615.9090909090909,0,0,0,3347,4,10822,1,853,1,677,0,0,15,8,1269305.0,1069361.3333300864,2120119.0,8543.0,1.301030457142857E7,5421884.970095297,2.0828344E7,7139508.0,NeedManualLabel
