,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2001-09-18 13:21:00+00:00,2591,801,5.947124662292551,15.0,2.674533333535736,131,149,3392,rrc00,nimda,anomalous,1
2001-09-18 13:24:00+00:00,3420,415,5.080409356725146,13.0,1.7368459202116135,68,172,3835,rrc00,nimda,anomalous,1
2001-09-18 13:27:00+00:00,3937,567,4.941579883159767,15.0,1.7514146372805777,68,118,4504,rrc00,nimda,anomalous,1
2001-09-18 13:30:00+00:00,5993,884,4.984982479559486,14.0,1.9046452923921369,141,286,6877,rrc00,nimda,anomalous,1
2001-09-18 13:33:00+00:00,6136,767,4.4757170795306385,12.0,1.4941422914940552,134,266,6903,rrc00,nimda,anomalous,1
2001-09-18 13:36:00+00:00,3843,568,4.689565443663804,13.0,1.868751733218935,82,124,4411,rrc00,nimda,anomalous,1
2001-09-18 13:39:00+00:00,5064,625,4.572867298578199,13.0,1.455576516377124,100,165,5689,rrc00,nimda,anomalous,1
2001-09-18 13:42:00+00:00,8907,891,4.495003929493657,16.0,1.6249475183850124,131,364,9798,rrc00,nimda,anomalous,1
2001-09-18 13:45:00+00:00,8644,1221,4.419134659879686,16.0,1.466992816307438,190,301,9865,rrc00,nimda,anomalous,1
2001-09-18 13:48:00+00:00,11567,1606,4.528659116451975,16.0,1.6679031911280193,352,456,13173,rrc00,nimda,anomalous,1
2001-09-18 13:51:00+00:00,9973,1057,4.4387847187405995,19.0,1.7268582203599754,197,372,11030,rrc00,nimda,anomalous,1
2001-09-18 13:54:00+00:00,10552,1516,4.962187263078089,18.0,1.9635107828064338,259,506,12068,rrc00,nimda,anomalous,1
2001-09-18 13:57:00+00:00,11526,2075,5.139684192260975,19.0,2.595614041983487,343,618,13601,rrc00,nimda,anomalous,1
2001-09-18 14:00:00+00:00,11969,2093,4.443562536552761,13.0,1.555504578444505,387,483,14062,rrc00,nimda,anomalous,1
2001-09-18 14:03:00+00:00,11606,1998,4.4175426503532655,12.0,1.5432360439010133,333,596,13604,rrc00,nimda,anomalous,1
2001-09-18 14:06:00+00:00,12899,1730,4.437863400263586,13.0,1.5371197835169128,337,478,14629,rrc00,nimda,anomalous,1
2001-09-18 14:09:00+00:00,8118,1604,4.974008376447401,16.0,2.089978780799453,259,455,9722,rrc00,nimda,anomalous,1
2001-09-18 14:12:00+00:00,11815,1940,4.712907321201862,16.0,1.8419152673727552,283,560,13755,rrc00,nimda,anomalous,1
2001-09-18 14:15:00+00:00,9858,2046,4.627206329884358,15.0,1.582100349458352,349,477,11904,rrc00,nimda,anomalous,1
2001-09-18 14:18:00+00:00,9019,1802,4.390287171526777,16.0,1.8335246783192578,276,450,10821,rrc00,nimda,anomalous,1
2001-09-18 14:21:00+00:00,13420,1689,4.766766020864382,18.0,1.7989063088432207,267,523,15109,rrc00,nimda,anomalous,1
2001-09-18 14:24:00+00:00,19897,1727,5.09348142936121,17.0,1.7275054976986295,292,646,21624,rrc00,nimda,anomalous,1
2001-09-18 14:27:00+00:00,23843,2547,4.9694249884662165,18.0,1.6886682634514845,411,848,26390,rrc00,nimda,anomalous,1
2001-09-18 14:30:00+00:00,22163,2202,5.2940486396246,19.0,1.7896750129221075,353,775,24365,rrc00,nimda,anomalous,1
2001-09-18 14:33:00+00:00,55143,1506,4.202709319405908,20.0,1.4903963597310708,277,511,56649,rrc00,nimda,anomalous,1
2001-09-18 14:36:00+00:00,455042,1824,4.004643527410656,22.0,1.4178289843924117,370,549,456866,rrc00,nimda,anomalous,1
2001-09-18 14:39:00+00:00,92122,1091,4.443607390199952,17.0,1.2598477306325313,224,340,93213,rrc00,nimda,anomalous,1
2001-09-18 14:42:00+00:00,17396,1470,4.5204069901126696,18.0,1.4033136620945033,249,439,18866,rrc00,nimda,anomalous,1
2001-09-18 14:45:00+00:00,16450,1060,3.9195744680851066,13.0,1.232601642788151,232,370,17510,rrc00,nimda,anomalous,1
2001-09-18 14:48:00+00:00,299445,1437,4.130624989564026,22.0,1.4830399800651304,276,498,300882,rrc00,nimda,anomalous,1
2001-09-18 14:51:00+00:00,40022,1162,4.371445704862325,16.0,1.4310226761107485,233,379,41184,rrc00,nimda,anomalous,1
2001-09-18 14:54:00+00:00,251522,1234,3.766974658280389,22.0,1.5149548212306385,240,397,252756,rrc00,nimda,anomalous,1
2001-09-18 14:57:00+00:00,96526,1134,4.533379607566873,18.0,1.2617717502043617,203,349,97660,rrc00,nimda,anomalous,1
2001-09-18 15:00:00+00:00,134951,1878,4.616586761120703,18.0,1.3594115943581329,329,448,136829,rrc00,nimda,anomalous,1
2001-09-18 15:03:00+00:00,42516,2851,4.88324395521686,21.0,1.696892328356627,410,630,45367,rrc00,nimda,anomalous,1
2001-09-18 15:06:00+00:00,134161,2047,4.416283420666215,20.0,1.4150038954624946,374,627,136208,rrc00,nimda,anomalous,1
2001-09-18 15:09:00+00:00,128318,3113,4.534063810221481,18.0,1.4737334233613055,510,843,131431,rrc00,nimda,anomalous,1
2001-09-18 15:12:00+00:00,34113,2584,4.624717849500191,16.0,1.5616737879787326,421,1041,36697,rrc00,nimda,anomalous,1
2001-09-18 15:15:00+00:00,26249,17681,5.00099051392434,17.0,1.987368912783537,326,16402,43930,rrc00,nimda,anomalous,1
2001-09-18 15:18:00+00:00,135869,1589,3.9526897231892484,22.0,1.6541799690706451,296,616,137458,rrc00,nimda,anomalous,1
2001-09-18 15:21:00+00:00,45915,2514,4.88927365784602,19.0,1.4856610175162508,468,675,48429,rrc00,nimda,anomalous,1
2001-09-18 15:24:00+00:00,44895,1613,5.241118164606304,19.0,1.4602037631499551,290,480,46508,rrc00,nimda,anomalous,1
2001-09-18 15:27:00+00:00,40277,3716,5.209623358244159,18.0,1.6350733942249915,549,816,43993,rrc00,nimda,anomalous,1
2001-09-18 15:30:00+00:00,26308,2371,5.105709289949825,19.0,1.7276233153159548,390,576,28679,rrc00,nimda,anomalous,1
2001-09-18 15:33:00+00:00,15915,1943,4.818473138548539,26.0,1.9321928162875,337,614,17858,rrc00,nimda,anomalous,1
2001-09-18 15:36:00+00:00,11590,1408,4.657290767903365,20.0,1.9696304872399468,248,398,12998,rrc00,nimda,anomalous,1
2001-09-18 15:39:00+00:00,11875,2291,4.913936842105263,19.0,2.234392293740486,425,671,14166,rrc00,nimda,anomalous,1
2001-09-18 15:42:00+00:00,12517,3100,4.8660222097946795,15.0,2.3884277885120957,506,735,15617,rrc00,nimda,anomalous,1
2001-09-18 15:45:00+00:00,20876,3957,4.441320176278981,19.0,1.674097338173249,612,935,24833,rrc00,nimda,anomalous,1
2001-09-18 15:48:00+00:00,14018,2340,4.928021115708375,19.0,2.114876974177111,443,645,16358,rrc00,nimda,anomalous,1
2001-09-18 15:51:00+00:00,14186,2216,4.730297476385169,16.0,2.1594111243170366,463,672,16402,rrc00,nimda,anomalous,1
2001-09-18 15:54:00+00:00,9942,3550,4.588211627439147,17.0,1.596936138185984,564,751,13492,rrc00,nimda,anomalous,1
2001-09-18 15:57:00+00:00,4729,1158,4.524000845844787,18.0,1.442162293054667,273,465,5887,rrc00,nimda,anomalous,1
2001-09-18 16:00:00+00:00,337049,1614,3.8832424958982226,22.0,1.4677873255730676,380,582,338663,rrc00,nimda,anomalous,1
2001-09-18 16:03:00+00:00,217463,2260,4.091942077502839,20.0,1.4906080235263728,428,600,219723,rrc00,nimda,anomalous,1
2001-09-18 16:06:00+00:00,91247,4392,4.818361151599505,19.0,1.4601779365596732,604,772,95639,rrc00,nimda,anomalous,1
2001-09-18 16:09:00+00:00,23351,2269,4.945955205344525,20.0,1.6744584813925507,337,734,25620,rrc00,nimda,anomalous,1
2001-09-18 16:12:00+00:00,13175,2292,4.7290322580645165,17.0,1.9708433579698603,413,650,15467,rrc00,nimda,anomalous,1
2001-09-18 16:15:00+00:00,20253,1892,4.328346417814645,16.0,1.867513478580339,304,700,22145,rrc00,nimda,anomalous,1
2001-09-18 16:18:00+00:00,163534,1202,4.257775141560776,21.0,1.4332714100094948,288,444,164736,rrc00,nimda,anomalous,1
2001-09-18 16:21:00+00:00,275732,1893,4.236769761942756,22.0,1.391431277236892,250,1129,277625,rrc00,nimda,anomalous,1
2001-09-18 16:24:00+00:00,22636,3570,5.0056547093126,17.0,2.398323582839751,484,1661,26206,rrc00,nimda,anomalous,1
2001-09-18 16:27:00+00:00,57915,1353,4.81705948372615,19.0,1.5252726949946198,238,513,59268,rrc00,nimda,anomalous,1
2001-09-18 16:30:00+00:00,53502,1950,4.955254009195918,21.0,1.3615766720765075,363,502,55452,rrc00,nimda,anomalous,1
2001-09-18 16:33:00+00:00,15430,1775,4.770058327932599,15.0,2.0313831801497373,328,540,17205,rrc00,nimda,anomalous,1
2001-09-18 16:36:00+00:00,28136,3121,4.778611032129656,16.0,1.6205028771622367,284,1932,31257,rrc00,nimda,anomalous,1
2001-09-18 16:39:00+00:00,14185,1527,4.744095875925273,15.0,1.772246543128384,336,485,15712,rrc00,nimda,anomalous,1
2001-09-18 16:42:00+00:00,17087,1542,4.59635980570024,15.0,1.564909986432301,264,430,18629,rrc00,nimda,anomalous,1
2001-09-18 16:45:00+00:00,10387,2143,5.283623760469818,17.0,2.2269095747539307,323,532,12530,rrc00,nimda,anomalous,1
2001-09-18 16:48:00+00:00,11501,1316,5.045474306582037,15.0,2.3367341872420404,301,403,12817,rrc00,nimda,anomalous,1
2001-09-18 16:51:00+00:00,8023,1447,4.812165025551539,17.0,1.962249123969172,265,431,9470,rrc00,nimda,anomalous,1
2001-09-18 16:54:00+00:00,16403,7432,4.810339572029507,15.0,1.7729253869698596,404,5753,23835,rrc00,nimda,anomalous,1
2001-09-18 16:57:00+00:00,55174,2147,5.035233987022873,17.0,1.4140437738178984,351,862,57321,rrc00,nimda,anomalous,1
2001-09-18 17:00:00+00:00,59271,2617,5.402827689763965,21.0,1.609359205241514,492,929,61888,rrc00,nimda,anomalous,1
2001-09-18 17:03:00+00:00,43287,2358,4.556056090743179,18.0,1.6868101218509652,446,799,45645,rrc00,nimda,anomalous,1
2001-09-18 17:06:00+00:00,42003,2890,4.324500630907316,18.0,1.3775354423670345,436,736,44893,rrc00,nimda,anomalous,1
2001-09-18 17:09:00+00:00,10945,2069,4.6645043398812245,18.0,1.6945364044339468,335,477,13014,rrc00,nimda,anomalous,1
2001-09-18 17:12:00+00:00,9686,1830,4.826140821804667,15.0,2.2910111978973577,364,461,11516,rrc00,nimda,anomalous,1
2001-09-18 17:15:00+00:00,11427,2196,4.401767743064672,16.0,1.6632717052602657,438,609,13623,rrc00,nimda,anomalous,1
2001-09-18 17:18:00+00:00,8954,1690,4.593477775295957,13.0,1.6466459334817845,242,530,10644,rrc00,nimda,anomalous,1
2001-09-18 17:21:00+00:00,12643,2092,4.77647710195365,15.0,2.04196122747763,399,534,14735,rrc00,nimda,anomalous,1
2001-09-18 17:24:00+00:00,12330,1643,4.660016220600162,15.0,1.75652619273233,295,460,13973,rrc00,nimda,anomalous,1
2001-09-18 17:27:00+00:00,13855,2059,4.562901479610249,17.0,1.752802187297939,360,511,15914,rrc00,nimda,anomalous,1
2001-09-18 17:30:00+00:00,10240,1959,4.54677734375,18.0,1.863653000188526,318,451,12199,rrc00,nimda,anomalous,1
2001-09-18 17:33:00+00:00,13720,2289,4.275218658892128,13.0,1.2871526632172876,319,637,16009,rrc00,nimda,anomalous,1
2001-09-18 17:36:00+00:00,12746,1865,4.489329985877922,18.0,1.7980377242375138,332,521,14611,rrc00,nimda,anomalous,1
2001-09-18 17:39:00+00:00,12282,1472,4.377707213808826,13.0,1.6305686026700692,226,620,13754,rrc00,nimda,anomalous,1
2001-09-18 17:42:00+00:00,12211,2135,4.196298419457866,13.0,1.5217278917864034,475,670,14346,rrc00,nimda,anomalous,1
2001-09-18 17:45:00+00:00,11337,2859,4.545999823586487,16.0,1.7111792785733653,442,600,14196,rrc00,nimda,anomalous,1
2001-09-18 17:48:00+00:00,10266,1463,4.420027274498344,18.0,1.703894828741251,246,451,11729,rrc00,nimda,anomalous,1
2001-09-18 17:51:00+00:00,18683,1923,4.238398544131028,19.0,1.2344883594555425,232,968,20606,rrc00,nimda,anomalous,1
2001-09-18 17:54:00+00:00,41321,3600,4.452191379685874,18.0,1.4492020026334194,455,538,44921,rrc00,nimda,anomalous,1
2001-09-18 17:57:00+00:00,51223,2457,4.347187786736427,16.0,1.2454756760918435,345,660,53680,rrc00,nimda,anomalous,1
2001-09-18 18:00:00+00:00,9677,1878,5.01281388860184,19.0,2.377306749277535,346,455,11555,rrc00,nimda,anomalous,1
2001-09-18 18:03:00+00:00,9478,2492,4.863895336568897,14.0,2.032974244232834,422,500,11970,rrc00,nimda,anomalous,1
2001-09-18 18:06:00+00:00,14090,1570,4.272533711852377,20.0,1.67424168075293,331,549,15660,rrc00,nimda,anomalous,1
2001-09-18 18:09:00+00:00,11033,1315,4.498323212181637,19.0,1.6979420629425264,253,394,12348,rrc00,nimda,anomalous,1
2001-09-18 18:12:00+00:00,14255,2824,4.96499473868818,26.0,2.258209736790484,425,553,17079,rrc00,nimda,anomalous,1
2001-09-18 18:15:00+00:00,9605,2273,4.920874544508068,19.0,2.0802700905265694,409,545,11878,rrc00,nimda,anomalous,1
2001-09-18 18:18:00+00:00,10964,1728,4.750729660707771,20.0,1.832649694722787,306,412,12692,rrc00,nimda,anomalous,1
2001-09-18 18:21:00+00:00,8709,1321,4.601331955448387,19.0,2.097459616088069,229,365,10030,rrc00,nimda,anomalous,1
2001-09-18 18:24:00+00:00,10649,1644,4.557141515635271,17.0,1.857377858924051,344,498,12293,rrc00,nimda,anomalous,1
2001-09-18 18:27:00+00:00,8845,1412,4.679932165065009,23.0,1.8706288927563413,239,412,10257,rrc00,nimda,anomalous,1
2001-09-18 18:30:00+00:00,9076,1190,4.474768620537682,21.0,1.5915994632027943,240,400,10266,rrc00,nimda,anomalous,1
2001-09-18 18:33:00+00:00,5289,926,4.464927207411609,13.0,1.7820210906475642,140,243,6215,rrc00,nimda,anomalous,1
2001-09-18 18:36:00+00:00,10040,1536,4.449402390438247,19.0,1.619241141380279,254,369,11576,rrc00,nimda,anomalous,1
2001-09-18 18:39:00+00:00,6453,853,5.316751898341857,22.0,2.4925290234753072,163,237,7306,rrc00,nimda,anomalous,1
2001-09-18 18:42:00+00:00,9555,2280,4.631292517006803,22.0,1.787919328321486,399,560,11835,rrc00,nimda,anomalous,1
2001-09-18 18:45:00+00:00,10375,1720,4.877301204819277,21.0,2.0568968189322208,281,430,12095,rrc00,nimda,anomalous,1
2001-09-18 18:48:00+00:00,8252,1742,4.515511391177896,21.0,1.9109797853282635,236,362,9994,rrc00,nimda,anomalous,1
2001-09-18 18:51:00+00:00,11377,1556,4.59163224048519,17.0,1.8339891393489511,300,424,12933,rrc00,nimda,anomalous,1
2001-09-18 18:54:00+00:00,10549,1474,4.371883590861693,15.0,1.700431842042246,241,416,12023,rrc00,nimda,anomalous,1
2001-09-18 18:57:00+00:00,9456,1988,4.677453468697124,21.0,2.0125513802945583,360,548,11444,rrc00,nimda,anomalous,1
2001-09-18 19:00:00+00:00,7094,1473,4.876233436707077,21.0,2.202317414836144,246,349,8567,rrc00,nimda,anomalous,1
2001-09-18 19:03:00+00:00,6251,1098,4.546792513197889,19.0,2.057059326196233,186,311,7349,rrc00,nimda,anomalous,1
2001-09-18 19:06:00+00:00,10756,1901,5.141223503161027,21.0,2.3598791321352284,307,495,12657,rrc00,nimda,anomalous,1
2001-09-18 19:09:00+00:00,14577,2019,4.771352130067915,21.0,1.6733880381450053,346,536,16596,rrc00,nimda,anomalous,1
2001-09-18 19:12:00+00:00,10629,1415,4.586414526295982,21.0,1.509273814562186,270,444,12044,rrc00,nimda,anomalous,1
2001-09-18 19:15:00+00:00,8290,1041,4.555609167671894,14.0,1.41450627657783,199,319,9331,rrc00,nimda,anomalous,1
2001-09-18 19:18:00+00:00,10151,1468,4.712245099005024,14.0,1.7227970127835155,256,352,11619,rrc00,nimda,anomalous,1
2001-09-18 19:21:00+00:00,8780,1204,4.521070615034168,17.0,1.4838194089220222,203,314,9984,rrc00,nimda,anomalous,1
2001-09-18 19:24:00+00:00,8135,1471,4.6768285187461585,21.0,1.8011599818913273,281,409,9606,rrc00,nimda,anomalous,1
2001-09-18 19:27:00+00:00,10788,2140,4.765943641082685,13.0,1.649316655323251,435,547,12928,rrc00,nimda,anomalous,1
2001-09-18 19:30:00+00:00,9316,1860,4.548840704164878,15.0,1.5688293653099026,275,419,11176,rrc00,nimda,anomalous,1
2001-09-18 19:33:00+00:00,9903,1511,4.478036958497425,15.0,1.6537917240061746,256,345,11414,rrc00,nimda,anomalous,1
2001-09-18 19:36:00+00:00,7245,1249,4.597929606625259,15.0,1.6563143892339254,218,315,8494,rrc00,nimda,anomalous,1
2001-09-18 19:39:00+00:00,15523,1631,4.779681762545899,20.0,1.7522316529224244,285,410,17154,rrc00,nimda,anomalous,1
2001-09-18 19:42:00+00:00,15045,1748,4.437354602858092,20.0,1.4692642948683732,330,483,16793,rrc00,nimda,anomalous,1
2001-09-18 19:45:00+00:00,13569,1265,4.61213059179011,20.0,1.679045560430209,219,384,14834,rrc00,nimda,anomalous,1
2001-09-18 19:48:00+00:00,11226,1350,4.572153928380545,15.0,1.5954140841636066,210,406,12576,rrc00,nimda,anomalous,1
2001-09-18 19:51:00+00:00,12694,2137,4.840239483220419,17.0,2.015342242444393,314,452,14831,rrc00,nimda,anomalous,1
2001-09-18 19:54:00+00:00,9206,2117,4.559743645448621,19.0,1.920668678452358,382,455,11323,rrc00,nimda,anomalous,1
