,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2001-08-25 19:09:00+00:00,1420,210,4.524647887323944,13.0,1.4515987601688372,29,52,1630,rrc00,nimda,normal,0
2001-08-25 19:12:00+00:00,3293,403,4.737017916793198,15.0,1.4344951546104796,27,261,3696,rrc00,nimda,normal,0
2001-08-25 19:15:00+00:00,2474,319,5.654405820533549,14.0,1.8136192055386209,29,163,2793,rrc00,nimda,normal,0
2001-08-25 19:18:00+00:00,1414,201,5.064356435643564,15.0,1.6792147177012768,25,54,1615,rrc00,nimda,normal,0
2001-08-25 19:21:00+00:00,850,143,4.70235294117647,14.0,1.6781275609221855,20,47,993,rrc00,nimda,normal,0
2001-08-25 19:24:00+00:00,1345,269,5.067657992565056,13.0,1.60779770932446,34,68,1614,rrc00,nimda,normal,0
2001-08-25 19:27:00+00:00,1507,223,4.804910418049104,16.0,1.827069853283302,37,58,1730,rrc00,nimda,normal,0
2001-08-25 19:30:00+00:00,1556,266,4.604113110539846,15.0,1.5328732191450383,43,70,1822,rrc00,nimda,normal,0
2001-08-25 19:33:00+00:00,1200,295,4.948333333333333,14.0,1.672023890047295,36,72,1495,rrc00,nimda,normal,0
2001-08-25 19:36:00+00:00,850,220,4.602352941176471,15.0,1.9292166328872962,41,65,1070,rrc00,nimda,normal,0
2001-08-25 19:39:00+00:00,948,199,4.832278481012659,15.0,1.7193157671755506,50,58,1147,rrc00,nimda,normal,0
2001-08-25 19:42:00+00:00,1500,234,4.446666666666666,17.0,1.7623343105728329,37,73,1734,rrc00,nimda,normal,0
2001-08-25 19:45:00+00:00,2214,259,4.8983739837398375,16.0,2.3956198876374404,35,82,2473,rrc00,nimda,normal,0
2001-08-25 19:48:00+00:00,1331,94,4.7122464312546954,14.0,1.4381280049618526,17,28,1425,rrc00,nimda,normal,0
2001-08-25 19:51:00+00:00,858,135,4.242424242424242,9.0,1.3713586059375467,19,43,993,rrc00,nimda,normal,0
2001-08-25 19:54:00+00:00,1310,115,4.690839694656488,14.0,1.9351687060478944,16,53,1425,rrc00,nimda,normal,0
2001-08-25 19:57:00+00:00,648,163,4.578703703703703,16.0,2.043502995460349,19,43,811,rrc00,nimda,normal,0
2001-08-25 20:00:00+00:00,930,149,5.280645161290322,17.0,2.479540282769053,22,37,1079,rrc00,nimda,normal,0
2001-08-25 20:03:00+00:00,2545,149,4.592141453831041,14.0,1.1091055227258189,24,48,2694,rrc00,nimda,normal,0
2001-08-25 20:06:00+00:00,1113,111,4.637915543575921,12.0,1.3817836709349405,22,32,1224,rrc00,nimda,normal,0
2001-08-25 20:09:00+00:00,797,166,4.910915934755333,15.0,1.9416439474785177,35,51,963,rrc00,nimda,normal,0
2001-08-25 20:12:00+00:00,1094,227,4.563985374771481,15.0,1.5502022701559646,48,49,1321,rrc00,nimda,normal,0
2001-08-25 20:15:00+00:00,1397,282,4.9613457408733,18.0,2.0407292810594657,35,82,1679,rrc00,nimda,normal,0
2001-08-25 20:18:00+00:00,1677,371,4.559928443649373,14.0,1.6653949575363498,47,60,2048,rrc00,nimda,normal,0
2001-08-25 20:21:00+00:00,1632,356,4.738357843137255,14.0,2.0727099930008404,56,96,1988,rrc00,nimda,normal,0
2001-08-25 20:24:00+00:00,1361,321,4.791329904481999,10.0,1.4704379862220232,35,59,1682,rrc00,nimda,normal,0
2001-08-25 20:27:00+00:00,1182,162,5.0245346869712355,15.0,2.20679777613848,30,44,1344,rrc00,nimda,normal,0
