,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2003-01-05 04:30:00+00:00,768,52,5.76171875,18.0,2.4295796884574714,14,23,820,rrc00,slammer,normal,0
2003-01-05 04:33:00+00:00,3264,177,4.2536764705882355,16.0,1.3228705467898263,29,94,3441,rrc00,slammer,normal,0
2003-01-05 04:36:00+00:00,3724,529,4.78813104189044,16.0,1.5894249235349631,143,201,4253,rrc00,slammer,normal,0
2003-01-05 04:39:00+00:00,2338,345,5.131736526946108,12.0,1.9153855867630742,25,181,2683,rrc00,slammer,normal,0
2003-01-05 04:42:00+00:00,2925,440,4.676581196581196,14.0,1.4724879593448843,153,187,3365,rrc00,slammer,normal,0
2003-01-05 04:45:00+00:00,2100,358,5.661428571428571,12.0,1.6541831122059865,93,120,2458,rrc00,slammer,normal,0
2003-01-05 04:48:00+00:00,5266,246,4.9859475883023165,13.0,1.515645718775109,93,108,5512,rrc00,slammer,normal,0
2003-01-05 04:51:00+00:00,4068,323,5.332841691248771,12.0,1.7379542126145984,91,114,4391,rrc00,slammer,normal,0
2003-01-05 04:54:00+00:00,2826,435,5.51450813871196,12.0,1.5536985490388717,88,106,3261,rrc00,slammer,normal,0
2003-01-05 04:57:00+00:00,4768,462,4.769714765100671,11.0,1.406118790454505,82,266,5230,rrc00,slammer,normal,0
2003-01-05 05:00:00+00:00,2099,285,5.184373511195807,12.0,1.616029673683454,102,131,2384,rrc00,slammer,normal,0
2003-01-05 05:03:00+00:00,2460,527,5.234146341463415,11.0,1.6065328656777849,114,137,2987,rrc00,slammer,normal,0
2003-01-05 05:06:00+00:00,2212,401,4.862567811934901,11.0,1.382567228209566,109,132,2613,rrc00,slammer,normal,0
2003-01-05 05:09:00+00:00,3839,225,4.7798905965095075,11.0,1.2886390738627065,31,159,4064,rrc00,slammer,normal,0
