,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2015-06-12 08:42:00+00:00,382281,1645,5.270379642200371,48.0,1.9385644569735345,128,1334,383926,rrc00,tmnet,anomalous,1
2015-06-12 08:45:00+00:00,539259,14119,5.391752386144691,42.0,2.1187848069750115,170,13719,553378,rrc00,tmnet,anomalous,1
2015-06-12 08:48:00+00:00,243249,24267,5.692023399890647,30.0,1.8243237902058944,4699,10536,267516,rrc00,tmnet,anomalous,1
2015-06-12 08:51:00+00:00,219688,11447,5.868996030734496,27.0,1.7702663702845913,2285,7122,231135,rrc00,tmnet,anomalous,1
2015-06-12 08:54:00+00:00,281445,33360,5.596525075947343,53.0,1.7313080507960295,7055,18989,314805,rrc00,tmnet,anomalous,1
2015-06-12 08:57:00+00:00,163748,33220,5.8219886655104185,31.0,1.7353762742609233,6893,13958,196968,rrc00,tmnet,anomalous,1
2015-06-12 09:00:00+00:00,81319,6769,5.543390843468316,34.0,1.828949548074189,1409,4702,88088,rrc00,tmnet,anomalous,1
2015-06-12 09:03:00+00:00,225079,21325,5.78753682040528,53.0,1.9487668814375974,6222,13284,246404,rrc00,tmnet,anomalous,1
2015-06-12 09:06:00+00:00,195736,20610,5.659061184452528,30.0,1.7660303244436124,6409,9312,216346,rrc00,tmnet,anomalous,1
2015-06-12 09:09:00+00:00,190188,20585,5.5779281552989675,53.0,1.8587382592586053,4452,14361,210773,rrc00,tmnet,anomalous,1
2015-06-12 09:12:00+00:00,111214,9025,5.61766504217095,34.0,1.7746355503330127,2015,5961,120239,rrc00,tmnet,anomalous,1
2015-06-12 09:15:00+00:00,163781,8177,5.393012620511537,28.0,1.5762077328269342,1940,4812,171958,rrc00,tmnet,anomalous,1
2015-06-12 09:18:00+00:00,215821,12543,5.6656812821736535,53.0,1.787319946003076,2790,7637,228364,rrc00,tmnet,anomalous,1
2015-06-12 09:21:00+00:00,195776,10441,5.517310599869238,32.0,1.6651107633077924,2319,6537,206217,rrc00,tmnet,anomalous,1
2015-06-12 09:24:00+00:00,152941,7427,5.650414212016399,34.0,1.8257771566356915,1761,3904,160368,rrc00,tmnet,anomalous,1
2015-06-12 09:27:00+00:00,202659,17810,5.721635851356219,53.0,1.7759631712592798,2714,12452,220469,rrc00,tmnet,anomalous,1
2015-06-12 09:30:00+00:00,142875,10962,5.573571303587052,31.0,1.741646539947945,2922,6103,153837,rrc00,tmnet,anomalous,1
2015-06-12 09:33:00+00:00,184338,7788,5.705047250160032,34.0,1.6909921650512152,1691,5429,192126,rrc00,tmnet,anomalous,1
2015-06-12 09:36:00+00:00,201035,15554,5.527112194394011,53.0,1.8608880527686849,3256,9554,216589,rrc00,tmnet,anomalous,1
2015-06-12 09:39:00+00:00,145638,8231,5.301487249206938,24.0,1.633872345667076,1300,6005,153869,rrc00,tmnet,anomalous,1
2015-06-12 09:42:00+00:00,168567,16754,5.610350780401858,32.0,1.8344697990250327,4225,8076,185321,rrc00,tmnet,anomalous,1
2015-06-12 09:45:00+00:00,232239,21629,5.593315506870078,34.0,1.6661151559653324,5626,9570,253868,rrc00,tmnet,anomalous,1
2015-06-12 09:48:00+00:00,173934,26857,5.722567180654731,53.0,1.747117394303259,4918,17226,200791,rrc00,tmnet,anomalous,1
2015-06-12 09:51:00+00:00,219673,25590,5.631738993868159,31.0,1.7507011966212849,6601,11683,245263,rrc00,tmnet,anomalous,1
2015-06-12 09:54:00+00:00,172341,26563,5.6362328174955465,53.0,1.8834946991645787,6560,12334,198904,rrc00,tmnet,anomalous,1
2015-06-12 09:57:00+00:00,147371,8841,5.549931804764845,34.0,1.707541501302506,1836,6444,156212,rrc00,tmnet,anomalous,1
