,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2015-06-12 20:51:00+00:00,10836,862,5.1450719822812845,30.0,2.1564403621301333,118,194,11698,rrc00,tmnet,normal,0
2015-06-12 20:54:00+00:00,7729,469,5.576141803596843,20.0,2.251246849034044,73,118,8198,rrc00,tmnet,normal,0
2015-06-12 20:57:00+00:00,23475,1947,5.311096911608094,18.0,1.963729247147719,404,730,25422,rrc00,tmnet,normal,0
2015-06-12 21:00:00+00:00,18834,1311,5.223531910374854,23.0,1.8418824869540984,236,282,20145,rrc00,tmnet,normal,0
2015-06-12 21:03:00+00:00,13302,1628,5.5671327619906785,36.0,1.939421426254986,273,328,14930,rrc00,tmnet,normal,0
2015-06-12 21:06:00+00:00,16243,1250,5.48857969586899,24.0,2.126699016345452,135,397,17493,rrc00,tmnet,normal,0
2015-06-12 21:09:00+00:00,15036,1972,5.49561053471668,21.0,2.1065447094428915,244,342,17008,rrc00,tmnet,normal,0
2015-06-12 21:12:00+00:00,11954,1420,5.225531202944621,38.0,2.640053383975603,157,221,13374,rrc00,tmnet,normal,0
2015-06-12 21:15:00+00:00,13891,1770,5.27147073644806,35.0,2.2800680326363136,221,304,15661,rrc00,tmnet,normal,0
2015-06-12 21:18:00+00:00,12143,1862,5.222762085151939,23.0,2.110479582502461,192,294,14005,rrc00,tmnet,normal,0
2015-06-12 21:21:00+00:00,10898,1093,4.938062029730226,17.0,1.7583190273634208,153,255,11991,rrc00,tmnet,normal,0
2015-06-12 21:24:00+00:00,15463,1254,4.810903446937852,30.0,1.817714496559033,164,277,16717,rrc00,tmnet,normal,0
2015-06-12 21:27:00+00:00,29434,1671,4.908371271318883,32.0,1.7315787781237024,225,739,31105,rrc00,tmnet,normal,0
2015-06-12 21:30:00+00:00,25621,1988,4.863705554037703,24.0,1.671537757887352,270,360,27609,rrc00,tmnet,normal,0
2015-06-12 21:33:00+00:00,18619,1194,5.021483430903915,32.0,1.9535038723871727,222,315,19813,rrc00,tmnet,normal,0
2015-06-12 21:36:00+00:00,13972,1884,5.532421986830805,32.0,2.095185421295942,208,271,15856,rrc00,tmnet,normal,0
2015-06-12 21:39:00+00:00,9340,1055,4.936723768736616,21.0,1.840701027525299,226,355,10395,rrc00,tmnet,normal,0
2015-06-12 21:42:00+00:00,9414,1292,5.235394093902698,22.0,1.9753195342439658,145,230,10706,rrc00,tmnet,normal,0
2015-06-12 21:45:00+00:00,4460,862,5.3847533632286995,15.0,2.2544307758338475,106,132,5322,rrc00,tmnet,normal,0
2015-06-12 21:48:00+00:00,15847,974,4.999873793146968,20.0,1.762263322160794,113,369,16821,rrc00,tmnet,normal,0
2015-06-12 21:51:00+00:00,9690,1114,5.803199174406605,21.0,2.613012227781956,155,195,10804,rrc00,tmnet,normal,0
2015-06-12 21:54:00+00:00,7375,743,5.551322033898305,23.0,2.228758858386555,98,152,8118,rrc00,tmnet,normal,0
2015-06-12 21:57:00+00:00,5696,567,5.44311797752809,20.0,2.298615325157212,66,98,6263,rrc00,tmnet,normal,0
2015-06-12 22:00:00+00:00,10931,1013,5.747873021681456,24.0,2.206914766862214,146,213,11944,rrc00,tmnet,normal,0
2015-06-12 22:03:00+00:00,13005,1398,5.220146097654748,21.0,2.102829819665397,225,268,14403,rrc00,tmnet,normal,0
2015-06-12 22:06:00+00:00,13940,1765,6.371951219512195,17.0,2.4941313172625033,201,325,15705,rrc00,tmnet,normal,0
2015-06-12 22:09:00+00:00,17348,3157,6.933306433018215,20.0,3.100237589568085,351,435,20505,rrc00,tmnet,normal,0
2015-06-12 22:12:00+00:00,6508,571,6.02320221266134,17.0,2.540317084350383,72,111,7079,rrc00,tmnet,normal,0
2015-06-12 22:15:00+00:00,8199,601,6.321868520551287,19.0,2.8515661166296113,67,130,8800,rrc00,tmnet,normal,0
2015-06-12 22:18:00+00:00,12441,892,5.239932481311792,29.0,2.4675174804120275,99,175,13333,rrc00,tmnet,normal,0
2015-06-12 22:21:00+00:00,5438,714,5.566016917984554,17.0,2.211084114599037,84,145,6152,rrc00,tmnet,normal,0
2015-06-12 22:24:00+00:00,7401,570,5.71301175516822,19.0,2.3026170458473296,80,140,7971,rrc00,tmnet,normal,0
2015-06-12 22:27:00+00:00,13049,1151,5.756992873017089,19.0,2.2585643816728305,181,246,14200,rrc00,tmnet,normal,0
2015-06-12 22:30:00+00:00,14337,1087,5.434958498988631,24.0,2.353907423043758,220,302,15424,rrc00,tmnet,normal,0
