,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2001-07-19 13:21:00+00:00,195,54,5.589743589743589,15.0,1.9390448179577109,7,46,249,rrc04,codered,anomalous,1
2001-07-19 13:24:00+00:00,357,32,4.955182072829132,15.0,1.7322795599591556,3,29,389,rrc04,codered,anomalous,1
2001-07-19 13:27:00+00:00,559,72,5.9391771019677995,12.0,1.9693228776769618,8,59,631,rrc04,codered,anomalous,1
2001-07-19 13:30:00+00:00,532,91,5.7368421052631575,19.0,1.961642463732976,25,62,623,rrc04,codered,anomalous,1
2001-07-19 13:33:00+00:00,364,55,5.695054945054945,14.0,2.2170363713088506,8,45,419,rrc04,codered,anomalous,1
2001-07-19 13:36:00+00:00,1057,279,5.314096499526963,17.0,1.9266885140659673,87,184,1336,rrc04,codered,anomalous,1
2001-07-19 13:39:00+00:00,623,284,5.715890850722311,13.0,1.9275449836122827,72,198,907,rrc04,codered,anomalous,1
2001-07-19 13:42:00+00:00,283,211,5.480565371024735,13.0,1.7997281985018774,10,198,494,rrc04,codered,anomalous,1
2001-07-19 13:45:00+00:00,1236,212,4.8122977346278315,15.0,1.406886977113042,11,200,1448,rrc04,codered,anomalous,1
2001-07-19 13:48:00+00:00,1244,39,4.210610932475884,9.0,0.6797601807173181,8,30,1283,rrc04,codered,anomalous,1
2001-07-19 13:51:00+00:00,2275,140,5.141978021978022,16.0,1.7936568452850299,47,91,2415,rrc04,codered,anomalous,1
2001-07-19 13:54:00+00:00,528,131,5.386363636363637,10.0,1.5722389327668964,44,81,659,rrc04,codered,anomalous,1
2001-07-19 13:57:00+00:00,325,53,5.2215384615384615,14.0,1.7043376613527395,6,45,378,rrc04,codered,anomalous,1
2001-07-19 14:00:00+00:00,8621,461,4.603990256350771,14.0,0.6418876884378555,39,405,9082,rrc04,codered,anomalous,1
2001-07-19 14:03:00+00:00,3527,272,4.700311879784519,14.0,1.910696144157129,63,206,3799,rrc04,codered,anomalous,1
2001-07-19 14:06:00+00:00,5569,792,4.71287484288023,14.0,1.5237325801191475,121,588,6361,rrc04,codered,anomalous,1
2001-07-19 14:09:00+00:00,5014,682,4.569206222576785,13.0,1.625944261920785,63,578,5696,rrc04,codered,anomalous,1
2001-07-19 14:12:00+00:00,6319,6405,5.3456243076436145,15.0,1.1884577379617192,47,6337,12724,rrc04,codered,anomalous,1
2001-07-19 14:15:00+00:00,3742,4643,4.992250133618386,13.0,1.8306709956902414,34,4596,8385,rrc04,codered,anomalous,1
2001-07-19 14:18:00+00:00,4989,1490,5.309280416917218,15.0,1.0212985729180495,19,1463,6479,rrc04,codered,anomalous,1
2001-07-19 14:21:00+00:00,372,62,5.263440860215054,17.0,1.9317541722451015,15,41,434,rrc04,codered,anomalous,1
2001-07-19 14:24:00+00:00,5892,510,5.724541751527495,17.0,1.2158387893823153,7,500,6402,rrc04,codered,anomalous,1
2001-07-19 14:27:00+00:00,779,278,5.489088575096277,19.0,2.222725793335706,64,153,1057,rrc04,codered,anomalous,1
2001-07-19 14:30:00+00:00,554,133,5.564981949458484,12.0,2.1396044751643917,16,116,687,rrc04,codered,anomalous,1
2001-07-19 14:33:00+00:00,618,87,5.122977346278317,16.0,1.8853264598812145,16,63,705,rrc04,codered,anomalous,1
2001-07-19 14:36:00+00:00,545,161,5.759633027522936,19.0,2.382471127352995,59,91,706,rrc04,codered,anomalous,1
2001-07-19 14:39:00+00:00,560,300,5.816071428571429,17.0,2.3694692583628365,97,146,860,rrc04,codered,anomalous,1
2001-07-19 14:42:00+00:00,522,81,5.080459770114943,17.0,1.901109118531986,16,59,603,rrc04,codered,anomalous,1
2001-07-19 14:45:00+00:00,885,78,5.309604519774012,19.0,2.001459456644011,6,68,963,rrc04,codered,anomalous,1
2001-07-19 14:48:00+00:00,522,188,5.618773946360153,13.0,1.7014395613960727,47,79,710,rrc04,codered,anomalous,1
2001-07-19 14:51:00+00:00,431,88,5.392111368909513,14.0,1.9090292103265545,19,61,519,rrc04,codered,anomalous,1
2001-07-19 14:54:00+00:00,614,112,5.231270358306189,12.0,1.4746277668228305,18,84,726,rrc04,codered,anomalous,1
2001-07-19 14:57:00+00:00,614,68,5.420195439739413,15.0,1.7946670803327336,12,53,682,rrc04,codered,anomalous,1
2001-07-19 15:00:00+00:00,598,146,5.38628762541806,13.0,1.9499453549192818,32,86,744,rrc04,codered,anomalous,1
2001-07-19 15:03:00+00:00,679,112,4.7820324005891015,13.0,1.6043666459815615,29,77,791,rrc04,codered,anomalous,1
2001-07-19 15:06:00+00:00,545,170,5.495412844036697,15.0,1.6085998995708195,35,130,715,rrc04,codered,anomalous,1
2001-07-19 15:09:00+00:00,666,139,5.7192192192192195,13.0,2.3850428550471374,24,103,805,rrc04,codered,anomalous,1
2001-07-19 15:12:00+00:00,389,70,5.025706940874036,14.0,2.3855514797845943,14,54,459,rrc04,codered,anomalous,1
2001-07-19 15:15:00+00:00,1644,65,5.350973236009732,14.0,1.5591517054623707,8,53,1709,rrc04,codered,anomalous,1
2001-07-19 15:18:00+00:00,3087,315,5.735665694849368,17.0,1.8904481917593772,17,295,3402,rrc04,codered,anomalous,1
2001-07-19 15:21:00+00:00,4368,113,6.404075091575091,14.0,1.1292205591842244,22,78,4481,rrc04,codered,anomalous,1
2001-07-19 15:24:00+00:00,9598,726,5.460408418420505,14.0,1.4467147109165044,13,708,10324,rrc04,codered,anomalous,1
2001-07-19 15:27:00+00:00,7091,340,5.880693837258496,18.0,1.575669390170984,39,283,7431,rrc04,codered,anomalous,1
2001-07-19 15:30:00+00:00,792,144,5.46969696969697,16.0,2.119317335553762,18,124,936,rrc04,codered,anomalous,1
2001-07-19 15:33:00+00:00,1154,294,4.811958405545927,12.0,1.4044355873068077,77,208,1448,rrc04,codered,anomalous,1
2001-07-19 15:36:00+00:00,8120,3566,6.754556650246306,14.0,1.088216747776151,372,3173,11686,rrc04,codered,anomalous,1
2001-07-19 15:39:00+00:00,585,1268,5.36068376068376,13.0,1.7825822652745447,360,894,1853,rrc04,codered,anomalous,1
2001-07-19 15:42:00+00:00,694,4682,5.463976945244957,13.0,1.569063040057974,2204,2472,5376,rrc04,codered,anomalous,1
2001-07-19 15:45:00+00:00,597,132,5.261306532663316,16.0,1.9954874472842175,26,93,729,rrc04,codered,anomalous,1
2001-07-19 15:48:00+00:00,1028,217,4.828793774319066,22.0,1.1702654028522725,41,141,1245,rrc04,codered,anomalous,1
2001-07-19 15:51:00+00:00,721,80,5.045769764216367,12.0,1.411017475413938,13,65,801,rrc04,codered,anomalous,1
2001-07-19 15:54:00+00:00,1298,186,5.191833590138675,17.0,1.6605718277485237,50,131,1484,rrc04,codered,anomalous,1
2001-07-19 15:57:00+00:00,807,142,4.826517967781908,22.0,1.4816985612401061,16,126,949,rrc04,codered,anomalous,1
2001-07-19 16:00:00+00:00,1142,183,5.188266199649737,11.0,1.348451394030367,34,138,1325,rrc04,codered,anomalous,1
2001-07-19 16:03:00+00:00,1288,176,5.112577639751553,12.0,1.4077966800711224,55,120,1464,rrc04,codered,anomalous,1
2001-07-19 16:06:00+00:00,2572,119,5.141135303265941,15.0,1.0896387256586832,27,76,2691,rrc04,codered,anomalous,1
2001-07-19 16:09:00+00:00,840,314,5.595238095238095,13.0,1.6819705536395866,68,211,1154,rrc04,codered,anomalous,1
2001-07-19 16:12:00+00:00,1229,248,5.017087062652563,17.0,1.4496264134442236,47,189,1477,rrc04,codered,anomalous,1
2001-07-19 16:15:00+00:00,1484,153,4.956199460916442,22.0,1.219272728789388,20,126,1637,rrc04,codered,anomalous,1
2001-07-19 16:18:00+00:00,701,145,4.723252496433666,11.0,1.3461579418604093,16,125,846,rrc04,codered,anomalous,1
2001-07-19 16:21:00+00:00,609,141,5.042692939244663,13.0,1.5210023829367405,16,118,750,rrc04,codered,anomalous,1
2001-07-19 16:24:00+00:00,1090,112,4.959633027522936,14.0,1.9094703269627902,19,89,1202,rrc04,codered,anomalous,1
2001-07-19 16:27:00+00:00,2514,99,6.806682577565632,17.0,2.2520253178192746,14,77,2613,rrc04,codered,anomalous,1
2001-07-19 16:30:00+00:00,3292,293,7.078675577156743,19.0,3.0538217309618214,43,232,3585,rrc04,codered,anomalous,1
2001-07-19 16:33:00+00:00,3251,731,6.3002153183635805,20.0,2.869830009706688,232,472,3982,rrc04,codered,anomalous,1
2001-07-19 16:36:00+00:00,2031,362,4.79123584441162,11.0,1.2249426474039966,60,294,2393,rrc04,codered,anomalous,1
2001-07-19 16:39:00+00:00,1555,364,5.239871382636656,14.0,1.6133542328216959,34,324,1919,rrc04,codered,anomalous,1
2001-07-19 16:42:00+00:00,3028,359,4.952774108322325,14.0,1.5373215544962573,25,328,3387,rrc04,codered,anomalous,1
2001-07-19 16:45:00+00:00,2148,237,4.706703910614525,12.0,1.0201013805843004,30,203,2385,rrc04,codered,anomalous,1
2001-07-19 16:48:00+00:00,1573,328,5.426573426573427,14.0,1.681727313887923,93,224,1901,rrc04,codered,anomalous,1
2001-07-19 16:51:00+00:00,1730,374,5.191329479768786,15.0,1.3722413087216685,61,285,2104,rrc04,codered,anomalous,1
2001-07-19 16:54:00+00:00,1611,529,5.620111731843576,14.0,1.7181089708411497,130,367,2140,rrc04,codered,anomalous,1
2001-07-19 16:57:00+00:00,2367,207,5.141529362061681,11.0,1.218014976586664,63,128,2574,rrc04,codered,anomalous,1
2001-07-19 17:00:00+00:00,2565,220,5.221052631578948,15.0,1.2777391030854082,19,198,2785,rrc04,codered,anomalous,1
2001-07-19 17:03:00+00:00,1554,436,5.523166023166024,13.0,1.800483637151047,105,320,1990,rrc04,codered,anomalous,1
2001-07-19 17:06:00+00:00,1256,423,5.812898089171974,16.0,1.9263987082753031,137,238,1679,rrc04,codered,anomalous,1
2001-07-19 17:09:00+00:00,3949,653,4.898708533806027,14.0,1.2747904771286818,50,579,4602,rrc04,codered,anomalous,1
2001-07-19 17:12:00+00:00,1217,297,4.958093672966311,14.0,1.6533780011121013,98,183,1514,rrc04,codered,anomalous,1
2001-07-19 17:15:00+00:00,3169,591,5.346165982959924,16.0,1.6276306150237998,99,430,3760,rrc04,codered,anomalous,1
2001-07-19 17:18:00+00:00,3325,416,5.053834586466166,15.0,1.663709381162825,94,275,3741,rrc04,codered,anomalous,1
2001-07-19 17:21:00+00:00,1674,171,5.410394265232975,16.0,1.5909426921834098,26,137,1845,rrc04,codered,anomalous,1
2001-07-19 17:24:00+00:00,1593,184,5.106716886377903,16.0,1.4919449191424683,15,165,1777,rrc04,codered,anomalous,1
2001-07-19 17:27:00+00:00,1875,378,5.6128,16.0,1.8768616074003253,48,316,2253,rrc04,codered,anomalous,1
2001-07-19 17:30:00+00:00,1662,659,5.6432009626955475,18.0,2.099426626623729,170,370,2321,rrc04,codered,anomalous,1
2001-07-19 17:33:00+00:00,1628,395,5.159090909090909,19.0,1.7622501137693278,114,234,2023,rrc04,codered,anomalous,1
2001-07-19 17:36:00+00:00,1740,364,5.558620689655172,12.0,1.8142191711453302,49,304,2104,rrc04,codered,anomalous,1
2001-07-19 17:39:00+00:00,1460,239,5.133561643835616,13.0,1.7573632723081394,45,157,1699,rrc04,codered,anomalous,1
2001-07-19 17:42:00+00:00,2033,312,5.233644859813084,17.0,1.206234560868302,72,226,2345,rrc04,codered,anomalous,1
2001-07-19 17:45:00+00:00,1512,342,5.213624338624339,14.0,1.7750473834170977,15,323,1854,rrc04,codered,anomalous,1
2001-07-19 17:48:00+00:00,1097,232,5.938924339106655,16.0,2.6986116709374346,31,200,1329,rrc04,codered,anomalous,1
2001-07-19 17:51:00+00:00,2251,378,5.34517992003554,16.0,2.0230562627964592,56,296,2629,rrc04,codered,anomalous,1
2001-07-19 17:54:00+00:00,2733,300,5.0080497621661175,14.0,1.673475616367778,74,224,3033,rrc04,codered,anomalous,1
2001-07-19 17:57:00+00:00,1899,272,5.063191153238547,17.0,1.4918449656669317,48,221,2171,rrc04,codered,anomalous,1
2001-07-19 18:00:00+00:00,1760,240,5.253977272727273,14.0,1.6021065959972878,26,207,2000,rrc04,codered,anomalous,1
2001-07-19 18:03:00+00:00,4218,543,4.913466097676624,16.0,1.4931021361621069,36,499,4761,rrc04,codered,anomalous,1
2001-07-19 18:06:00+00:00,4959,1333,5.0846944948578345,14.0,1.1884729274179646,397,935,6292,rrc04,codered,anomalous,1
2001-07-19 18:09:00+00:00,2303,474,5.169344333478072,16.0,1.543402429524819,66,403,2777,rrc04,codered,anomalous,1
2001-07-19 18:12:00+00:00,1830,302,4.896174863387978,16.0,1.5164441482193458,62,190,2132,rrc04,codered,anomalous,1
2001-07-19 18:15:00+00:00,2070,386,4.95024154589372,13.0,1.3959698512910488,63,314,2456,rrc04,codered,anomalous,1
2001-07-19 18:18:00+00:00,1965,413,5.041730279898219,16.0,1.695162720772663,112,262,2378,rrc04,codered,anomalous,1
2001-07-19 18:21:00+00:00,1880,534,5.116489361702127,13.0,1.72520255205918,72,432,2414,rrc04,codered,anomalous,1
2001-07-19 18:24:00+00:00,2408,338,5.490448504983389,13.0,1.715400769162495,69,247,2746,rrc04,codered,anomalous,1
2001-07-19 18:27:00+00:00,2014,256,5.459285004965244,16.0,1.9895658020379976,39,217,2270,rrc04,codered,anomalous,1
2001-07-19 18:30:00+00:00,1543,191,5.109526895657809,15.0,1.9180369694960904,31,156,1734,rrc04,codered,anomalous,1
2001-07-19 18:33:00+00:00,2009,374,4.79342956694873,13.0,1.7320900735926494,91,248,2383,rrc04,codered,anomalous,1
2001-07-19 18:36:00+00:00,2550,247,4.554117647058823,12.0,1.891159180233832,33,213,2797,rrc04,codered,anomalous,1
2001-07-19 18:39:00+00:00,1737,227,4.896948762233737,16.0,1.5164714195036673,47,165,1964,rrc04,codered,anomalous,1
2001-07-19 18:42:00+00:00,1911,417,5.357927786499215,13.0,1.5757810841407545,75,334,2328,rrc04,codered,anomalous,1
2001-07-19 18:45:00+00:00,1598,178,5.168335419274093,13.0,1.6832603227894936,26,142,1776,rrc04,codered,anomalous,1
2001-07-19 18:48:00+00:00,2876,391,5.159944367176634,13.0,1.4191744734374938,73,303,3267,rrc04,codered,anomalous,1
