,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2001-07-05 19:18:00+00:00,284,41,4.922535211267606,14.0,1.687042347590298,8,32,325,rrc04,codered,normal,0
2001-07-05 19:21:00+00:00,1001,203,5.702297702297702,12.0,1.3459098194317005,32,168,1204,rrc04,codered,normal,0
2001-07-05 19:24:00+00:00,744,422,5.435483870967742,13.0,1.8443838124396226,134,170,1166,rrc04,codered,normal,0
2001-07-05 19:27:00+00:00,751,192,4.312916111850866,14.0,1.324492573598171,11,174,943,rrc04,codered,normal,0
2001-07-05 19:30:00+00:00,1065,185,4.973708920187794,12.0,1.3318996457865178,44,75,1250,rrc04,codered,normal,0
2001-07-05 19:33:00+00:00,587,123,5.746166950596252,15.0,2.3367222036360373,27,77,710,rrc04,codered,normal,0
2001-07-05 19:36:00+00:00,498,138,5.152610441767068,13.0,1.7392247767749853,39,67,636,rrc04,codered,normal,0
2001-07-05 19:39:00+00:00,545,131,4.812844036697248,12.0,1.530671191594186,35,92,676,rrc04,codered,normal,0
2001-07-05 19:42:00+00:00,728,119,5.847527472527473,13.0,2.3795360238512253,38,78,847,rrc04,codered,normal,0
2001-07-05 19:45:00+00:00,1140,102,5.913157894736842,10.0,1.1556127832859127,10,84,1242,rrc04,codered,normal,0
2001-07-05 19:48:00+00:00,554,254,5.55956678700361,11.0,1.4610059686686239,94,130,808,rrc04,codered,normal,0
2001-07-05 19:51:00+00:00,762,239,6.039370078740157,15.0,2.3209699352791167,58,138,1001,rrc04,codered,normal,0
2001-07-05 19:54:00+00:00,473,154,5.435517970401691,15.0,2.383116840055416,37,100,627,rrc04,codered,normal,0
2001-07-05 19:57:00+00:00,518,98,5.617760617760617,11.0,1.3728732955204883,17,68,616,rrc04,codered,normal,0
2001-07-05 20:00:00+00:00,372,114,5.540322580645161,11.0,1.7089227894328058,34,61,486,rrc04,codered,normal,0
2001-07-05 20:03:00+00:00,585,186,5.44957264957265,18.0,1.9342890622515474,46,107,771,rrc04,codered,normal,0
2001-07-05 20:06:00+00:00,586,95,5.174061433447099,15.0,1.956980039952377,26,64,681,rrc04,codered,normal,0
2001-07-05 20:09:00+00:00,544,269,4.974264705882353,15.0,1.5704297053171659,63,98,813,rrc04,codered,normal,0
2001-07-05 20:12:00+00:00,707,183,4.867043847241867,15.0,1.7067559083684716,41,86,890,rrc04,codered,normal,0
2001-07-05 20:15:00+00:00,458,101,4.91703056768559,15.0,1.8985441225032977,35,63,559,rrc04,codered,normal,0
2001-07-05 20:18:00+00:00,251,41,5.370517928286852,15.0,2.1091168377631306,8,27,292,rrc04,codered,normal,0
2001-07-05 20:21:00+00:00,439,138,5.43507972665148,18.0,2.200589987264581,33,78,577,rrc04,codered,normal,0
2001-07-05 20:24:00+00:00,399,93,5.160401002506266,15.0,2.113172872381818,24,68,492,rrc04,codered,normal,0
2001-07-05 20:27:00+00:00,458,119,5.013100436681222,11.0,1.885315233958817,42,68,577,rrc04,codered,normal,0
2001-07-05 20:30:00+00:00,409,106,4.985330073349633,12.0,1.5525922643960137,32,72,515,rrc04,codered,normal,0
2001-07-05 20:33:00+00:00,363,91,5.214876033057851,11.0,1.4967730849490144,16,68,454,rrc04,codered,normal,0
2001-07-05 20:36:00+00:00,531,150,5.0790960451977405,14.0,1.9048347477897847,48,75,681,rrc04,codered,normal,0
2001-07-05 20:39:00+00:00,363,107,4.994490358126722,10.0,1.6057652507576077,36,66,470,rrc04,codered,normal,0
2001-07-05 20:42:00+00:00,421,131,5.258907363420428,15.0,2.151494590375744,43,84,552,rrc04,codered,normal,0
2001-07-05 20:45:00+00:00,442,50,7.0588235294117645,16.0,3.053249358894744,10,37,492,rrc04,codered,normal,0
2001-07-05 20:48:00+00:00,516,28,5.5562015503875966,15.0,1.5733796605640566,2,22,544,rrc04,codered,normal,0
2001-07-05 20:51:00+00:00,614,134,4.969055374592834,15.0,1.9204081627590617,42,60,748,rrc04,codered,normal,0
2001-07-05 20:54:00+00:00,357,139,5.098039215686274,15.0,2.3224447585950103,42,68,496,rrc04,codered,normal,0
2001-07-05 20:57:00+00:00,389,140,5.215938303341902,15.0,2.119720832445767,38,102,529,rrc04,codered,normal,0
2001-07-05 21:00:00+00:00,504,138,5.057539682539683,13.0,1.867289091172708,38,70,642,rrc04,codered,normal,0
2001-07-05 21:03:00+00:00,674,147,5.399109792284866,12.0,2.0648389860690735,49,63,821,rrc04,codered,normal,0
2001-07-05 21:06:00+00:00,1039,248,5.462945139557267,15.0,1.9913971347981174,50,140,1287,rrc04,codered,normal,0
2001-07-05 21:09:00+00:00,820,182,4.9158536585365855,15.0,1.5338433723099951,40,113,1002,rrc04,codered,normal,0
2001-07-05 21:12:00+00:00,755,122,5.2701986754966885,13.0,1.7050293622371906,33,84,877,rrc04,codered,normal,0
2001-07-05 21:15:00+00:00,889,155,5.061867266591676,13.0,1.4416265733477989,52,101,1044,rrc04,codered,normal,0
2001-07-05 21:18:00+00:00,924,192,5.39935064935065,24.0,1.8999998890378214,53,111,1116,rrc04,codered,normal,0
2001-07-05 21:21:00+00:00,1444,237,5.2797783933518,22.0,1.5795984467039565,46,104,1681,rrc04,codered,normal,0
2001-07-05 21:24:00+00:00,507,116,4.948717948717949,15.0,1.944327036936295,32,80,623,rrc04,codered,normal,0
2001-07-05 21:27:00+00:00,286,49,4.685314685314685,15.0,1.7093718652477072,7,42,335,rrc04,codered,normal,0
2001-07-05 21:30:00+00:00,394,119,5.2030456852791875,12.0,2.0412972045002835,32,86,513,rrc04,codered,normal,0
2001-07-05 21:33:00+00:00,582,207,6.013745704467354,15.0,2.4382018451595187,63,90,789,rrc04,codered,normal,0
2001-07-05 21:36:00+00:00,437,113,4.766590389016018,15.0,1.960824687381427,33,78,550,rrc04,codered,normal,0
2001-07-05 21:39:00+00:00,282,64,4.5,11.0,1.3559692040269586,16,46,346,rrc04,codered,normal,0
2001-07-05 21:42:00+00:00,478,206,5.7803347280334725,15.0,2.077945127981668,88,111,684,rrc04,codered,normal,0
2001-07-05 21:45:00+00:00,771,214,5.164721141374838,15.0,1.7753465217901603,49,88,985,rrc04,codered,normal,0
2001-07-05 21:48:00+00:00,498,87,4.781124497991968,15.0,1.6151532498945194,12,71,585,rrc04,codered,normal,0
2001-07-05 21:51:00+00:00,1133,115,4.87378640776699,15.0,1.4880967711389637,38,73,1248,rrc04,codered,normal,0
2001-07-05 21:54:00+00:00,531,123,5.047080979284369,15.0,2.108106037419713,45,70,654,rrc04,codered,normal,0
2001-07-05 21:57:00+00:00,475,52,5.566315789473684,13.0,2.1436128149171454,11,36,527,rrc04,codered,normal,0
2001-07-05 22:00:00+00:00,351,91,5.250712250712251,15.0,2.133665386776336,16,73,442,rrc04,codered,normal,0
2001-07-05 22:03:00+00:00,433,157,5.290993071593533,18.0,2.03056032323099,21,114,590,rrc04,codered,normal,0
2001-07-05 22:06:00+00:00,494,132,5.220647773279352,15.0,1.9554498704324776,45,84,626,rrc04,codered,normal,0
2001-07-05 22:09:00+00:00,471,128,5.791932059447983,15.0,1.7700080618201992,34,91,599,rrc04,codered,normal,0
2001-07-05 22:12:00+00:00,571,214,5.2626970227670755,15.0,2.1455755993469507,56,89,785,rrc04,codered,normal,0
2001-07-05 22:15:00+00:00,450,168,5.242222222222222,15.0,1.8622553696333903,40,102,618,rrc04,codered,normal,0
2001-07-05 22:18:00+00:00,700,136,5.481428571428571,15.0,1.9525655545712055,36,98,836,rrc04,codered,normal,0
2001-07-05 22:21:00+00:00,627,96,5.826156299840511,15.0,2.3861813222226234,12,83,723,rrc04,codered,normal,0
2001-07-05 22:24:00+00:00,623,123,4.747993579454254,18.0,1.7117453719105924,34,84,746,rrc04,codered,normal,0
2001-07-05 22:27:00+00:00,516,172,5.724806201550388,17.0,2.5361428018310344,52,73,688,rrc04,codered,normal,0
2001-07-05 22:30:00+00:00,1206,250,5.3573797678275294,14.0,2.08345160262632,51,170,1456,rrc04,codered,normal,0
2001-07-05 22:33:00+00:00,489,163,5.47239263803681,18.0,2.2217908087807485,55,78,652,rrc04,codered,normal,0
2001-07-05 22:36:00+00:00,730,161,5.3123287671232875,20.0,2.5883799982227975,41,78,891,rrc04,codered,normal,0
2001-07-05 22:39:00+00:00,2312,893,4.828287197231834,15.0,1.4957884962374284,45,815,3205,rrc04,codered,normal,0
2001-07-05 22:42:00+00:00,1806,161,4.499446290143965,15.0,1.315109283950229,41,66,1967,rrc04,codered,normal,0
2001-07-05 22:45:00+00:00,1336,109,4.262724550898204,15.0,1.1996705144703146,30,77,1445,rrc04,codered,normal,0
2001-07-05 22:48:00+00:00,11678,4266,4.296797396814523,16.0,1.1871211989963062,41,4224,15944,rrc04,codered,normal,0
2001-07-05 22:51:00+00:00,3439,101,4.582145972666472,16.0,1.1548529363771092,38,61,3540,rrc04,codered,normal,0
2001-07-05 22:54:00+00:00,657,191,5.614916286149163,15.0,2.584220298579764,39,97,848,rrc04,codered,normal,0
2001-07-05 22:57:00+00:00,771,181,5.691309987029832,16.0,2.5599255665940905,48,93,952,rrc04,codered,normal,0
