,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2005-05-25 04:00:00+00:00,857,239,7.360560093348892,22.0,2.440801303844402,78,84,1096,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:03:00+00:00,609,97,4.839080459770115,13.0,1.8693930440472215,33,41,706,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:06:00+00:00,546,101,4.750915750915751,15.0,1.3641971851367598,29,43,647,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:09:00+00:00,316,63,5.306962025316456,10.0,1.6527926918105087,24,27,379,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:12:00+00:00,590,89,5.605084745762712,13.0,2.661395309385315,35,39,679,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:15:00+00:00,2268,288,5.675044091710759,16.0,1.8625033285472465,68,185,2556,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:18:00+00:00,929,118,5.092572658772874,17.0,1.3654347306265575,42,49,1047,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:21:00+00:00,674,83,5.307121661721069,15.0,1.7899429793910817,27,40,757,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:24:00+00:00,317,63,5.681388012618297,17.0,2.609628005250346,22,26,380,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:27:00+00:00,240,74,4.829166666666667,11.0,1.6482261087470844,18,43,314,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:30:00+00:00,322,65,4.546583850931677,9.0,1.3851488722330623,20,27,387,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:33:00+00:00,289,48,4.809688581314879,13.0,1.7553998469697967,17,18,337,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:36:00+00:00,80109,152,4.3637294186670665,15.0,1.0607132913519557,45,96,80261,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:39:00+00:00,61513,130,4.252288134215532,20.0,1.2782769051967788,38,80,61643,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:42:00+00:00,14290,110,4.25150454863541,15.0,1.2471406807938694,39,53,14400,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:45:00+00:00,11313,474,4.575709360912225,15.0,1.2722484772174343,218,244,11787,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:48:00+00:00,14804,808,4.432450689002972,14.0,1.0916972738136643,359,386,15612,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:51:00+00:00,41396,203,4.373393564595613,20.0,1.2560363061775401,93,103,41599,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:54:00+00:00,29161,261,4.560131682726929,15.0,1.0888136718025716,111,124,29422,rrc04,moscow,blackout_anomalous,1
2005-05-25 04:57:00+00:00,27626,1636,4.719937739810324,15.0,1.2709713095414732,796,821,29262,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:00:00+00:00,21114,6099,4.505541346973572,17.0,1.242269868270792,2796,2834,27213,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:03:00+00:00,24995,1760,4.296499299859972,20.0,1.0878522105671877,802,880,26755,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:06:00+00:00,16184,940,4.368821057834898,15.0,1.0148887639903297,457,471,17124,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:09:00+00:00,20169,1202,4.439387178343002,18.0,1.1960847847507208,485,522,21371,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:12:00+00:00,30057,606,4.3984762284991845,19.0,1.1317455820060887,287,307,30663,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:15:00+00:00,36886,2083,4.456460445697554,19.0,1.2858277143604684,915,919,38969,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:18:00+00:00,45159,2333,4.4269359374654,20.0,1.1330836825351949,1065,1100,47492,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:21:00+00:00,40105,8461,4.398803141752898,16.0,1.1442036133309532,4089,4203,48566,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:24:00+00:00,41061,4727,4.323591729378242,15.0,1.085038168535047,2245,2254,45788,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:27:00+00:00,22337,3026,4.41500649147155,18.0,1.0930412682246338,1474,1501,25363,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:30:00+00:00,46743,2302,4.497807158291081,23.0,1.141578301762867,961,1007,49045,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:33:00+00:00,40693,3503,4.449389329860172,20.0,1.110522047139755,1706,1754,44196,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:36:00+00:00,36438,23299,4.432652725177013,19.0,1.197361455408643,10970,10985,59737,rrc04,moscow,blackout_anomalous,1
2005-05-25 05:39:00+00:00,47066,863,4.476182382186717,19.0,1.1364423899268092,412,431,47929,rrc04,moscow,blackout_anomalous,1
