,num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,collector,event,label_str,label
2003-01-25 05:30:00+00:00,2039,444,5.287395782246199,18.0,1.4470524524695028,86,353,2483,rrc04,slammer,anomalous,1
2003-01-25 05:33:00+00:00,9801,2124,5.494541373329252,18.0,1.7278325622213666,685,1355,11925,rrc04,slammer,anomalous,1
2003-01-25 05:36:00+00:00,11165,2375,5.641558441558441,19.0,1.876422091145658,678,1531,13540,rrc04,slammer,anomalous,1
2003-01-25 05:39:00+00:00,10667,2288,5.437798818786913,18.0,1.8647801574830443,599,1575,12955,rrc04,slammer,anomalous,1
2003-01-25 05:42:00+00:00,9494,2055,5.435432904992627,17.0,1.780270131519299,559,1373,11549,rrc04,slammer,anomalous,1
2003-01-25 05:45:00+00:00,9813,2395,5.535106491388974,17.0,1.9755242333381582,575,1659,12208,rrc04,slammer,anomalous,1
2003-01-25 05:48:00+00:00,8445,1517,5.741977501480166,18.0,2.293574027732654,317,1142,9962,rrc04,slammer,anomalous,1
2003-01-25 05:51:00+00:00,7382,1799,5.574911947981577,20.0,1.878094346978778,398,1308,9181,rrc04,slammer,anomalous,1
2003-01-25 05:54:00+00:00,9231,1976,5.642508937276568,19.0,1.9407394080625018,604,1232,11207,rrc04,slammer,anomalous,1
2003-01-25 05:57:00+00:00,8171,1829,5.6750703708236445,17.0,2.0344695707442444,455,1293,10000,rrc04,slammer,anomalous,1
2003-01-25 06:00:00+00:00,8423,1322,5.389884839130951,19.0,1.7365899829499487,322,960,9745,rrc04,slammer,anomalous,1
2003-01-25 06:03:00+00:00,8938,1904,5.633586932199597,19.0,1.9665756256845426,506,1289,10842,rrc04,slammer,anomalous,1
2003-01-25 06:06:00+00:00,7303,1568,5.799123647815966,17.0,2.0422859068951813,497,1025,8871,rrc04,slammer,anomalous,1
2003-01-25 06:09:00+00:00,7712,1684,5.851659751037344,19.0,2.0095176400423638,527,1080,9396,rrc04,slammer,anomalous,1
2003-01-25 06:12:00+00:00,8521,1403,5.586316160075109,19.0,1.8339329307890853,347,982,9924,rrc04,slammer,anomalous,1
2003-01-25 06:15:00+00:00,6740,1458,5.5734421364985165,23.0,1.8628272975293123,425,966,8198,rrc04,slammer,anomalous,1
2003-01-25 06:18:00+00:00,7524,1713,5.405768208399787,17.0,1.7385682534786053,460,1148,9237,rrc04,slammer,anomalous,1
2003-01-25 06:21:00+00:00,7002,1588,5.774635818337618,17.0,2.2359522214631964,474,1058,8590,rrc04,slammer,anomalous,1
2003-01-25 06:24:00+00:00,5882,1258,5.75212512750765,17.0,1.9505358262550874,343,863,7140,rrc04,slammer,anomalous,1
2003-01-25 06:27:00+00:00,6548,1472,5.545510079413561,17.0,1.8060103785771044,445,935,8020,rrc04,slammer,anomalous,1
2003-01-25 06:30:00+00:00,8910,1359,5.555667789001122,21.0,2.155302723291972,321,946,10269,rrc04,slammer,anomalous,1
2003-01-25 06:33:00+00:00,7550,1833,5.354172185430463,21.0,2.005850501720614,483,1247,9383,rrc04,slammer,anomalous,1
2003-01-25 06:36:00+00:00,6175,1580,5.790121457489879,18.0,2.124162036596482,400,1108,7755,rrc04,slammer,anomalous,1
2003-01-25 06:39:00+00:00,8749,2007,5.624299919990856,23.0,1.9702343779506901,451,1404,10756,rrc04,slammer,anomalous,1
2003-01-25 06:42:00+00:00,6787,1456,5.606158833063209,17.0,2.05487781795735,366,1033,8243,rrc04,slammer,anomalous,1
2003-01-25 06:45:00+00:00,7750,1631,5.595612903225806,17.0,1.8820253619596399,477,1029,9381,rrc04,slammer,anomalous,1
2003-01-25 06:48:00+00:00,6634,1031,5.815194452818812,17.0,2.076739562681922,283,685,7665,rrc04,slammer,anomalous,1
2003-01-25 06:51:00+00:00,6885,1633,5.402033405954975,17.0,1.7982147013562655,395,1098,8518,rrc04,slammer,anomalous,1
2003-01-25 06:54:00+00:00,5085,1681,5.906391347099312,17.0,2.1822310163445167,522,1037,6766,rrc04,slammer,anomalous,1
2003-01-25 06:57:00+00:00,7612,1386,5.854177614293222,17.0,2.191805582622683,385,927,8998,rrc04,slammer,anomalous,1
2003-01-25 07:00:00+00:00,6077,1360,5.729471778838243,20.0,1.8756492641188225,330,978,7437,rrc04,slammer,anomalous,1
2003-01-25 07:03:00+00:00,7118,1621,5.728856420342793,17.0,2.042973721229382,426,1046,8739,rrc04,slammer,anomalous,1
2003-01-25 07:06:00+00:00,5820,1005,5.472508591065292,17.0,1.8026613284381703,216,774,6825,rrc04,slammer,anomalous,1
2003-01-25 07:09:00+00:00,6243,1260,5.39067755886593,17.0,1.8020819039431313,258,930,7503,rrc04,slammer,anomalous,1
2003-01-25 07:12:00+00:00,5957,1190,5.551787812657378,20.0,1.9742030034184928,238,857,7147,rrc04,slammer,anomalous,1
2003-01-25 07:15:00+00:00,5493,739,5.361915164755143,17.0,1.7366437942266666,119,598,6232,rrc04,slammer,anomalous,1
2003-01-25 07:18:00+00:00,5131,870,5.367179886961606,18.0,1.7090124805670774,172,634,6001,rrc04,slammer,anomalous,1
2003-01-25 07:21:00+00:00,7313,1391,5.361137699986326,18.0,1.7089317945268854,402,921,8704,rrc04,slammer,anomalous,1
2003-01-25 07:24:00+00:00,8595,1444,5.477835951134381,17.0,1.8834117961907264,316,1075,10039,rrc04,slammer,anomalous,1
2003-01-25 07:27:00+00:00,5710,1394,5.756917688266199,19.0,2.083905540855263,355,971,7104,rrc04,slammer,anomalous,1
2003-01-25 07:30:00+00:00,5307,989,5.4330130016958735,20.0,1.870447736680063,177,781,6296,rrc04,slammer,anomalous,1
2003-01-25 07:33:00+00:00,6789,1152,5.7943732508469585,22.0,1.924520055144825,284,808,7941,rrc04,slammer,anomalous,1
2003-01-25 07:36:00+00:00,8824,2078,5.660358114233907,23.0,1.6578029619083592,660,1380,10902,rrc04,slammer,anomalous,1
2003-01-25 07:39:00+00:00,8070,1351,5.335563816604709,17.0,1.812024177927029,343,942,9421,rrc04,slammer,anomalous,1
2003-01-25 07:42:00+00:00,4835,1346,5.6138572905894515,20.0,1.9760757054571922,324,947,6181,rrc04,slammer,anomalous,1
2003-01-25 07:45:00+00:00,6007,974,5.511736307641085,17.0,1.9634127458347348,265,659,6981,rrc04,slammer,anomalous,1
2003-01-25 07:48:00+00:00,5268,877,5.748481397114655,18.0,2.310212128366529,216,618,6145,rrc04,slammer,anomalous,1
2003-01-25 07:51:00+00:00,6360,1230,5.705817610062893,24.0,1.9682457449835524,261,838,7590,rrc04,slammer,anomalous,1
2003-01-25 07:54:00+00:00,7532,1477,5.5203133297928835,23.0,1.847329173271878,353,1070,9009,rrc04,slammer,anomalous,1
2003-01-25 07:57:00+00:00,5390,1041,5.539703153988868,18.0,2.1140489304513643,278,716,6431,rrc04,slammer,anomalous,1
2003-01-25 08:00:00+00:00,5541,943,5.495397942609637,18.0,1.814295468450301,165,739,6484,rrc04,slammer,anomalous,1
2003-01-25 08:03:00+00:00,5124,927,5.403786104605777,18.0,1.9422561137480343,249,653,6051,rrc04,slammer,anomalous,1
2003-01-25 08:06:00+00:00,5055,989,5.751533135509397,22.0,2.228310143713753,195,730,6044,rrc04,slammer,anomalous,1
2003-01-25 08:09:00+00:00,5789,1200,5.485057868371048,21.0,1.856296912846369,309,786,6989,rrc04,slammer,anomalous,1
2003-01-25 08:12:00+00:00,5910,1469,5.845008460236887,20.0,1.9791650698895469,380,1021,7379,rrc04,slammer,anomalous,1
2003-01-25 08:15:00+00:00,6819,693,5.3782079483795275,16.0,1.530718919587456,163,517,7512,rrc04,slammer,anomalous,1
2003-01-25 08:18:00+00:00,8619,1614,5.691379510384035,17.0,1.9639124278645588,368,1175,10233,rrc04,slammer,anomalous,1
2003-01-25 08:21:00+00:00,6140,1400,5.540553745928339,20.0,2.0867544941302065,297,1058,7540,rrc04,slammer,anomalous,1
2003-01-25 08:24:00+00:00,4942,891,5.5182112505058685,18.0,1.919877332952414,214,649,5833,rrc04,slammer,anomalous,1
2003-01-25 08:27:00+00:00,4357,1003,5.599495065411981,17.0,1.8464164803600307,249,729,5360,rrc04,slammer,anomalous,1
2003-01-25 08:30:00+00:00,4756,1048,5.4947434819175776,19.0,1.878728062014966,208,789,5804,rrc04,slammer,anomalous,1
2003-01-25 08:33:00+00:00,4702,1074,5.419821352615908,17.0,1.7302862184302157,267,770,5776,rrc04,slammer,anomalous,1
2003-01-25 08:36:00+00:00,2796,1069,5.69277539341917,20.0,2.0937516948894186,278,691,3865,rrc04,slammer,anomalous,1
