num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,label
7252.0,677.0,4.754412575841148,22.0,1.9024619285617088,110.0,215.0,7929.0,1
8060.0,1523.0,5.104838709677419,14.0,1.310598677925842,311.0,335.0,9583.0,1
217.0,73.0,6.290322580645161,20.0,2.6350261039983622,21.0,42.0,290.0,0
15982.0,3286.0,4.571079964960581,14.0,1.4238426234247643,528.0,819.0,19268.0,1
5428.0,1243.0,4.569086219602063,15.0,1.734341073338193,176.0,353.0,6671.0,1
8894.0,584.0,5.393748594558129,18.0,1.7053960189643926,161.0,203.0,9478.0,1
8894.0,584.0,5.393748594558129,18.0,1.7053960189643926,161.0,203.0,9478.0,1
3193.0,376.0,7.148449733792671,18.0,3.346360978210028,72.0,92.0,3569.0,0
91247.0,4392.0,4.818361151599505,19.0,1.4601779365596732,604.0,772.0,95639.0,1
438.0,77.0,7.34703196347032,17.0,3.501875277642759,8.0,67.0,515.0,0
7118.0,1621.0,5.728856420342793,17.0,2.042973721229382,426.0,1046.0,8739.0,1
112.0,48.0,5.553571428571429,10.0,1.850865076285207,10.0,33.0,160.0,0
470.0,98.0,5.382978723404255,15.0,2.350673886984658,11.0,86.0,568.0,0
8050.0,788.0,4.435155279503106,13.0,1.4490369925236348,66.0,337.0,8838.0,0
14069.0,922.0,6.614542611415168,19.0,2.41575173874864,159.0,344.0,14991.0,1
8403.0,1932.0,5.609663215518268,17.0,1.9553414409681944,333.0,374.0,10335.0,1
15991.0,3697.0,4.801325745731974,17.0,2.102998087594208,534.0,697.0,19688.0,1
655.0,93.0,5.67175572519084,13.0,1.6625316301489872,8.0,82.0,748.0,0
2643.0,231.0,5.149451381006432,13.0,1.6274190881805832,35.0,87.0,2874.0,0
15417.0,1974.0,4.60368424466498,18.0,1.6255187273095568,335.0,551.0,17391.0,1
77797.0,1911.0,5.097715850225587,25.0,1.9491431166656008,212.0,748.0,79708.0,1
2212.0,401.0,4.862567811934901,11.0,1.382567228209566,109.0,132.0,2613.0,1
7838.0,1355.0,5.543378412860424,16.0,1.764480112184868,260.0,402.0,9193.0,1
77797.0,1911.0,5.097715850225587,25.0,1.9491431166656008,212.0,748.0,79708.0,1
339.0,72.0,5.162241887905605,16.0,1.9598301474814,15.0,55.0,411.0,0
10266.0,1463.0,4.420027274498344,18.0,1.703894828741251,246.0,451.0,11729.0,1
2070.0,410.0,5.303381642512077,17.0,2.102388373653323,75.0,97.0,2480.0,0
2078.0,678.0,5.448989412897016,17.0,1.892197249769222,207.0,399.0,2756.0,1
1522.0,237.0,5.045992115637319,17.0,2.4720222336626203,48.0,57.0,1759.0,0
12330.0,1643.0,4.660016220600162,15.0,1.75652619273233,295.0,460.0,13973.0,1
2129.0,366.0,5.406294034758102,17.0,1.89354489976552,50.0,310.0,2495.0,1
5527.0,621.0,5.028225076895241,15.0,1.972196688237522,149.0,182.0,6148.0,0
2992.0,306.0,4.730614973262032,13.0,1.8246012373348384,45.0,98.0,3298.0,0
33989.0,6542.0,4.983730030303922,18.0,2.1970374398761225,972.0,1677.0,40531.0,1
2211.0,535.0,4.6716417910447765,13.0,1.5025399782986062,75.0,109.0,2746.0,0
10442.0,9264.0,5.3478260869565215,15.0,1.6297457523822418,2677.0,6158.0,19706.0,1
445.0,80.0,5.752808988764045,14.0,1.7538458471740153,15.0,61.0,525.0,0
11467.0,1349.0,4.535275137350658,21.0,1.5026061255293706,274.0,375.0,12816.0,1
7852.0,1527.0,4.686704024452369,15.0,1.4929487816788478,156.0,849.0,9379.0,1
4368.0,606.0,5.132554945054945,14.0,2.19891387435582,111.0,230.0,4974.0,1
1422.0,174.0,4.274964838255977,14.0,1.7061749250866145,35.0,60.0,1596.0,0
5820.0,1005.0,5.472508591065292,17.0,1.8026613284381705,216.0,774.0,6825.0,1
369.0,63.0,5.170731707317073,10.0,1.2902006130001544,7.0,54.0,432.0,0
12073.0,2867.0,4.982026008448604,17.0,1.900382930887456,396.0,523.0,14940.0,1
31997.0,2135.0,5.220364409163359,21.0,2.084063342600197,369.0,1141.0,34132.0,1
447.0,125.0,5.906040268456376,25.0,2.7261488316886067,26.0,94.0,572.0,0
764.0,144.0,5.714659685863874,14.0,1.5416536862650996,6.0,136.0,908.0,0
330.0,113.0,5.8090909090909095,18.0,2.837504626760466,10.0,99.0,443.0,0
16605.0,3787.0,5.064077085215296,18.0,2.166202048458179,574.0,928.0,20392.0,1
266.0,45.0,6.30827067669173,15.0,2.3337357548254407,12.0,26.0,311.0,0
3092.0,692.0,4.9055627425614485,18.0,1.7193466072220078,209.0,471.0,3784.0,1
6791.0,1066.0,5.018553968487704,15.0,1.6032501869101712,145.0,234.0,7857.0,1
1373.0,269.0,5.865258557902403,13.0,2.3045717306630453,45.0,74.0,1642.0,0
8856.0,1364.0,4.7250451671183376,21.0,2.5727773004492622,197.0,331.0,10220.0,1
7410.0,687.0,5.128879892037787,15.0,1.848584084597665,109.0,172.0,8097.0,0
6858.0,1503.0,5.603091280256635,15.0,1.7401815749520646,252.0,282.0,8361.0,1
9367.0,2255.0,5.144550016013665,19.0,1.918603035660688,311.0,488.0,11622.0,1
1717.0,431.0,5.617355853232382,19.0,2.5326755468267703,53.0,61.0,2148.0,0
5960.0,1858.0,6.545805369127517,16.0,3.3792074230145164,194.0,548.0,7818.0,1
2166.0,259.0,4.640812557710064,15.0,2.13710051262479,43.0,86.0,2425.0,0
54617.0,13990.0,5.527802698793416,31.0,1.7294327007406476,3992.0,7119.0,68607.0,1
214.0,198.0,6.271028037383178,15.0,2.312380710569904,10.0,179.0,412.0,0
3143.0,727.0,5.463569837734648,18.0,1.684990046281475,204.0,493.0,3870.0,1
11529.0,2962.0,5.063578801283719,19.0,2.022220150636584,313.0,963.0,14491.0,1
17864.0,3454.0,4.876007613076578,18.0,1.88529019670228,632.0,838.0,21318.0,1
26403.0,645.0,4.96360262091429,18.0,1.5420235697682487,157.0,347.0,27048.0,1
1623.0,381.0,5.014171287738756,15.0,1.6293431576289843,110.0,250.0,2004.0,1
14103.0,401.0,5.785081188399631,16.0,2.146211612199377,62.0,110.0,14504.0,0
3024.0,364.0,5.738425925925926,15.0,2.253311415917832,64.0,80.0,3388.0,0
3891.0,625.0,5.206116679516834,16.0,1.899606637514192,124.0,152.0,4516.0,0
11529.0,2962.0,5.063578801283719,19.0,2.022220150636584,313.0,963.0,14491.0,1
4953.0,696.0,4.888148596810014,21.0,1.8481651932642629,214.0,254.0,5649.0,1
49058.0,9538.0,4.891638468751274,21.0,1.922888426330508,1602.0,2419.0,58596.0,1
10660.0,1522.0,4.903377110694184,20.0,2.351369375164809,302.0,417.0,12182.0,1
6662.0,1240.0,5.083158210747524,21.0,2.3433807962378213,249.0,335.0,7902.0,1
515.0,82.0,5.887378640776699,14.0,1.9644747617724363,18.0,62.0,597.0,0
509.0,39.0,4.56188605108055,20.0,2.474744966872909,11.0,27.0,548.0,0
5764.0,638.0,4.896252602359473,16.0,2.14053275487832,98.0,171.0,6402.0,1
9591.0,1064.0,4.56938796788656,18.0,1.501799994186641,180.0,569.0,10655.0,1
6094.0,1053.0,4.594847390876272,14.0,1.7570094143344763,176.0,303.0,7147.0,1
2044.0,575.0,5.638454011741683,17.0,1.910397126094972,164.0,388.0,2619.0,1
8290.0,1041.0,4.555609167671894,14.0,1.41450627657783,199.0,319.0,9331.0,1
6226.0,1278.0,4.834564728557662,14.0,1.975500508717852,201.0,307.0,7504.0,1
14496.0,3027.0,4.860099337748345,17.0,1.8502930950509924,442.0,715.0,17523.0,1
9739.0,1445.0,5.183899784372112,16.0,1.9065775729044336,260.0,490.0,11184.0,1
2132.0,346.0,5.562382739212008,20.0,2.256188393595352,55.0,100.0,2478.0,0
3028.0,359.0,4.952774108322325,14.0,1.5373215544962573,25.0,328.0,3387.0,0
1794.0,252.0,5.10479375696767,13.0,1.590155537727025,50.0,125.0,2046.0,1
1897.0,366.0,5.016341591987349,18.0,1.8354118454472883,71.0,81.0,2263.0,0
297.0,158.0,6.05050505050505,15.0,2.4674598944628405,19.0,130.0,455.0,0
2979.0,362.0,5.33971131252098,13.0,1.503293034265449,103.0,182.0,3341.0,1
105193.0,8376.0,5.444345156046505,45.0,2.0542730180978923,1776.0,5463.0,113569.0,1
10354.0,2146.0,4.799690940699247,20.0,1.6015782915766763,360.0,508.0,12500.0,1
3535.0,728.0,5.543988684582744,18.0,2.319397922140531,119.0,142.0,4263.0,0
3750.0,1006.0,5.42,16.0,2.4626002517664127,97.0,624.0,4756.0,0
8265.0,1083.0,4.7921355111917725,17.0,1.9374017566404995,224.0,467.0,9348.0,1
4162.0,516.0,6.395002402691014,19.0,2.193466777518821,84.0,178.0,4678.0,1
8709.0,1321.0,4.601331955448387,19.0,2.097459616088069,229.0,365.0,10030.0,1
716.0,63.0,5.740223463687151,16.0,1.6811814000234035,22.0,25.0,779.0,0
319.0,77.0,5.6802507836990594,13.0,2.008903052204784,12.0,60.0,396.0,0
16184.0,940.0,4.368821057834898,15.0,1.0148887639903297,457.0,471.0,17124.0,1
354.0,63.0,5.858757062146893,15.0,2.024523277293505,13.0,47.0,417.0,0
