Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-192.168.0.162-39190-443-6,10.215.173.1,39190,192.168.0.162,443,6,01-05-2026 20:12,86723,1,1,0,0,0,0,0,0,0,0,0,0,0,23.06193282,86723,0,86723,86723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,11.53096641,11.53096641,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0,0,0,0,0,0,0,0,1
10.215.173.1-192.168.0.162-39200-443-6,10.215.173.1,39200,192.168.0.162,443,6,01-05-2026 20:12,8214,1,1,0,0,0,0,0,0,0,0,0,0,0,243.48673,8214,0,8214,8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,121.743365,121.743365,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0,0,0,0,0,0,0,0,1
10.215.173.1-192.168.0.162-39208-443-6,10.215.173.1,39208,192.168.0.162,443,6,01-05-2026 20:12,26064,1,1,0,0,0,0,0,0,0,0,0,0,0,76.73419276,26064,0,26064,26064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,38.36709638,38.36709638,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0,0,0,0,0,0,0,0,1
10.215.173.1-192.168.0.162-39216-443-6,10.215.173.1,39216,192.168.0.162,443,6,01-05-2026 20:12,25227,1,1,0,0,0,0,0,0,0,0,0,0,0,79.28013636,25227,0,25227,25227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,39.64006818,39.64006818,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0,0,0,0,0,0,0,0,1
10.215.173.1-57.144.212.192-51260-443-6,10.215.173.1,51260,57.144.212.192,443,6,01-05-2026 20:12,1041235,2,1,0,0,0,0,0,0,0,0,0,0,0,2.881193967,520617.5,735626.519,1040784,451,1041235,1041235,0,1041235,1041235,0,0,0,0,0,0,0,0,0,60,28,1.920795978,0.960397989,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,65535,4096,0,20,0,0,0,0,0,0,0,0,0
10.215.173.1-57.144.212.192-51266-443-6,10.215.173.1,51266,57.144.212.192,443,6,01-05-2026 20:12,1041352,2,1,0,0,0,0,0,0,0,0,0,0,0,2.880870253,520676,735963.8089,1041081,271,1041352,1041352,0,1041352,1041352,0,0,0,0,0,0,0,0,0,60,28,1.920580169,0.960290084,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,65535,4096,0,20,0,0,0,0,0,0,0,0,0
10.215.173.1-57.144.212.192-51270-443-6,10.215.173.1,51270,57.144.212.192,443,6,01-05-2026 20:12,1071580,2,1,0,0,0,0,0,0,0,0,0,0,0,2.799604323,535790,757403.2865,1071355,225,1071580,1071580,0,1071580,1071580,0,0,0,0,0,0,0,0,0,60,28,1.866402882,0.933201441,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,65535,4096,0,20,0,0,0,0,0,0,0,0,0
10.215.173.1-57.144.212.192-51284-443-6,10.215.173.1,51284,57.144.212.192,443,6,01-05-2026 20:12,1035687,2,1,0,0,0,0,0,0,0,0,0,0,0,2.896628035,517843.5,732112.1983,1035525,162,1035687,1035687,0,1035687,1035687,0,0,0,0,0,0,0,0,0,60,28,1.931085357,0.965542678,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,65535,4096,0,20,0,0,0,0,0,0,0,0,0
10.215.173.1-57.144.212.196-45352-443-6,10.215.173.1,45352,57.144.212.196,443,6,01-05-2026 20:12,1110299,2,1,0,0,0,0,0,0,0,0,0,0,0,2.701974873,555149.5,784791.6535,1110081,218,1110299,1110299,0,1110299,1110299,0,0,0,0,0,0,0,0,0,60,28,1.801316582,0.900658291,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,65535,4096,0,20,0,0,0,0,0,0,0,0,0
10.215.173.1-57.144.212.192-51256-443-6,10.215.173.1,51256,57.144.212.192,443,6,01-05-2026 20:12,1406271,22,20,4704,6178,1024,0,213.8181818,371.9441377,2653,0,308.9,733.3809163,7738.195554,29.86622066,34299.29268,160427.1807,1007253,36,1406271,66965.28571,222282.3821,1007253,36,380265,20013.94737,55609.83457,246290,213,0,0,0,0,480,408,15.64421082,14.22200984,0,2653,253.0697674,562.405014,316299.3998,1,3,1,18,39,0,0,0,0,259.0952381,213.8181818,308.9,0,0,0,10882,21,29013,22,4704,20,6178,65535,4096,13,20,0,0,0,0,0,0,0,0,0
10.215.173.1-142.251.222.206-32796-443-6,10.215.173.1,32796,142.251.222.206,443,6,01-05-2026 20:12,176324,9,8,757,6118,517,0,84.11111111,170.0709002,5329,0,764.75,1864.787292,38990.72163,96.41342075,11020.25,16535.755,47991,36,175492,21936.5,18347.35586,49116,36,154141,22020.14286,19518.97874,47991,665,0,0,0,0,200,168,51.04239922,45.37102153,0,5329,381.9444444,1252.995445,1569997.585,1,2,1,6,16,0,0,0,0,404.4117647,84.11111111,764.75,0,0,0,6875,6,47037,0,0,0,0,65535,255,4,20,0,0,0,0,0,0,0,0,0
10.215.173.1-142.251.222.206-32784-443-6,10.215.173.1,32784,142.251.222.206,443,6,01-05-2026 20:12,211550,10,9,757,6118,517,0,75.7,162.5355004,4200,0,679.7777778,1386.464999,32498.22737,89.81328291,11752.77778,18240.40371,59392,37,210978,23442,21650.72408,59392,37,191427,23928.375,23650.25013,59971,350,0,0,0,0,220,188,47.2701489,42.54313401,0,4200,343.75,958.8629711,919418.1974,1,2,1,7,18,0,0,0,0,361.8421053,75.7,679.7777778,0,0,0,6875,7,37939,0,0,0,0,65535,255,4,20,0,0,0,0,0,0,0,0,0
10.215.173.1-142.251.222.206-32800-443-6,10.215.173.1,32800,142.251.222.206,443,6,01-05-2026 20:12,212716,9,8,757,6118,517,0,84.11111111,170.0709002,5329,0,764.75,1864.787292,32320.08876,79.91876493,13294.75,21236.35537,74782,61,212249,26531.125,25842.89595,74782,61,194512,27787.42857,27220.70164,75727,347,0,0,0,0,200,168,42.30993437,37.60883055,0,5329,381.9444444,1252.995445,1569997.585,1,2,1,6,16,0,0,0,0,404.4117647,84.11111111,764.75,0,0,0,6875,6,36845,0,0,0,0,65535,255,4,20,0,0,0,0,0,0,0,0,0
10.215.173.1-142.251.222.206-32814-443-6,10.215.173.1,32814,142.251.222.206,443,6,01-05-2026 20:12,244689,10,9,757,6120,517,0,75.7,162.5355004,2800,0,680,1156.875209,28105.06398,77.64958784,13593.83333,24763.63727,97454,34,243964,27107.11111,32240.64881,97454,34,222648,27831,36042.11354,107411,619,0,0,0,0,220,188,40.86820413,36.78138372,0,2800,343.85,820.7471099,673625.8184,1,2,1,7,18,0,0,0,0,361.9473684,75.7,680,0,0,0,6877,7,31263,0,0,0,0,65535,255,4,20,0,0,0,0,0,0,0,0,0
