# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.215.173.1-192.168.0.162-45142-443-6,10.215.173.1,45142,192.168.0.162,443,6,03/05/2026 07:36:53 PM,14307,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.79171035157614,14307.0,0.0,14307.0,14307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,69.89585517578807,69.89585517578807,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45146-443-6,10.215.173.1,45146,192.168.0.162,443,6,03/05/2026 07:36:55 PM,18629,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.3594932631918,18629.0,0.0,18629.0,18629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,53.6797466315959,53.6797466315959,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45158-443-6,10.215.173.1,45158,192.168.0.162,443,6,03/05/2026 07:36:55 PM,156540,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7762872109365,156540.0,0.0,156540.0,156540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,6.38814360546825,6.38814360546825,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45166-443-6,10.215.173.1,45166,192.168.0.162,443,6,03/05/2026 07:36:55 PM,8623,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.93784065870344,8623.0,0.0,8623.0,8623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,115.96892032935172,115.96892032935172,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45172-443-6,10.215.173.1,45172,192.168.0.162,443,6,03/05/2026 07:36:55 PM,76498,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.144474365342887,76498.0,0.0,76498.0,76498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,13.072237182671444,13.072237182671444,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45176-443-6,10.215.173.1,45176,192.168.0.162,443,6,03/05/2026 07:36:56 PM,29007,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.94887440962526,29007.0,0.0,29007.0,29007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,34.47443720481263,34.47443720481263,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45188-443-6,10.215.173.1,45188,192.168.0.162,443,6,03/05/2026 07:36:56 PM,11279,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.320684457842,11279.0,0.0,11279.0,11279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,88.660342228921,88.660342228921,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45190-443-6,10.215.173.1,45190,192.168.0.162,443,6,03/05/2026 07:36:56 PM,11888,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.23687752355318,11888.0,0.0,11888.0,11888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,84.11843876177659,84.11843876177659,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45202-443-6,10.215.173.1,45202,192.168.0.162,443,6,03/05/2026 07:36:56 PM,11650,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.67381974248926,11650.0,0.0,11650.0,11650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,85.83690987124463,85.83690987124463,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10.215.173.1-192.168.0.162-45212-443-6,10.215.173.1,45212,192.168.0.162,443,6,03/05/2026 07:36:56 PM,12046,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.03021749958492,12046.0,0.0,12046.0,12046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,83.01510874979246,83.01510874979246,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,255,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
