Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.112-172.66.147.243-37090-80-6,192.168.0.112,37090,172.66.147.243,80,6,12/05/2026 09:18:56 PM,72859,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,12585.953691376495,150.9765437351597,7285.9,12022.43103951942,38728.0,-66.0,61254.0,12250.8,19979.559534684442,47092.0,227.0,61713.0,15428.25,17190.70024509376,39808.0,0.0,0,0,0,0,200,168,82.35084203735984,68.62570169779987,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-45292-80-6,192.168.0.112,45292,104.20.23.154,80,6,12/05/2026 09:18:59 PM,38262,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,23966.33735821442,287.49150593277926,3826.2000000000003,4919.592819645861,11302.0,-30.0,26960.0,5392.0,7083.328278429569,15577.0,124.0,28155.0,7038.75,5559.8160865865575,12150.0,1.0,0,0,0,0,200,168,156.81354869060686,130.6779572421724,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-37094-80-6,192.168.0.112,37094,172.66.147.243,80,6,12/05/2026 09:19:02 PM,42273,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,21692.333167743003,260.2133749674733,4227.3,5503.163394307355,13884.0,-38.0,31040.0,6208.0,7864.289573763164,15664.0,169.0,28389.0,7097.25,5485.646080150146,12184.0,0.0,0,0,0,0,200,168,141.93456816407638,118.27880680339698,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-37110-80-6,192.168.0.112,37110,172.66.147.243,80,6,12/05/2026 09:19:06 PM,39762,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,23062.220210250995,276.64604396157137,3976.2,4995.349343806363,11588.0,-40.0,28174.0,5634.8,7184.412342008218,15975.0,171.0,29386.0,7346.5,5827.188086890623,13027.0,1.0,0,0,0,0,200,168,150.8978421608571,125.74820180071426,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-33298-80-6,192.168.0.112,33298,104.20.23.154,80,6,12/05/2026 09:19:09 PM,47625,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,19254.593175853017,230.9711286089239,4762.5,6275.7055955663045,14665.0,-116.0,34306.0,6861.2,9474.716497077894,21054.0,115.0,35424.0,8856.0,7087.103545643076,14854.0,0.0,0,0,0,0,200,168,125.98425196850394,104.98687664041995,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-59950-80-6,192.168.0.112,59950,172.66.147.243,80,6,12/05/2026 09:19:12 PM,50609,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,18119.306842656442,217.3526447865004,5060.9,6525.981432363684,17068.0,-188.0,33541.0,6708.2,8974.63178631859,19688.0,133.0,38090.0,9522.5,7250.046919388407,17566.0,0.0,0,0,0,0,200,168,118.55598806536386,98.79665672113656,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-33302-80-6,192.168.0.112,33302,104.20.23.154,80,6,12/05/2026 09:19:15 PM,42723,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,21463.848512510827,257.47255576621495,4272.3,5395.328762508876,12415.0,-114.0,30446.0,6089.2,7609.150392783678,16097.0,123.0,30308.0,7577.0,6095.2964926518,14139.0,1.0,0,0,0,0,200,168,140.43957587248087,117.03297989373407,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-57226-80-6,192.168.0.112,57226,104.20.23.154,80,6,12/05/2026 09:19:19 PM,38890,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,23579.326304962713,282.84906145538696,3889.0,4741.906180242522,10808.0,-122.0,28082.0,5616.4,6870.027823815562,15285.0,100.0,28484.0,7121.0,5664.254290431059,12598.0,0.0,0,0,0,0,200,168,154.2813062483929,128.5677552069941,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-51138-80-6,192.168.0.112,51138,172.66.147.243,80,6,12/05/2026 09:19:22 PM,37996,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,24134.11938098747,289.50415833245603,3799.5999999999995,5139.890945665417,11949.0,-28.0,27595.0,5519.0,7078.705813918247,15206.0,254.0,27042.0,6760.5,6118.5548675047985,12674.0,1.0,0,0,0,0,200,168,157.91135909043055,131.59279924202548,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-151.101.157.91-36274-443-6,192.168.0.112,36274,151.101.157.91,443,6,12/05/2026 09:19:22 PM,198948,10,7,960.0,3493.0,685.0,0.0,96.0,215.1758970392982,2896.0,0.0,499.0,1074.7912975705253,22382.733176508435,85.44946418159519,12434.250000000002,31382.76883365562,127649.0,-5.0,198948.0,22105.333333333332,40193.15097749864,127649.0,80.0,182334.0,30389.000000000004,55932.0272902744,143048.0,0.0,0,0,0,0,316,232,50.264390695055994,35.185073486539196,0.0,2896.0,247.38888888888889,689.4715912663834,475371.07516339875,1,2,1,7,15,0,0,0,0.0,261.94117647058823,96.0,499.0,0,0,0,4453,7,25159,0,0,0,0,64240,282,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
