Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.112-1.1.1.1-54888-80-6,192.168.0.112,54888,1.1.1.1,80,6,13/05/2026 11:06:26 AM,47473,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,6129.800096897184,189.5814462957892,5934.125,7798.605322885807,19420.0,86.0,34245.0,8561.25,9270.224102828726,19593.0,876.0,28053.0,9351.0,7772.102868593544,14225.0,388.0,0,0,0,0,168,136,105.32302571988288,84.2584205759063,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-54894-80-6,192.168.0.112,54894,1.1.1.1,80,6,13/05/2026 11:06:28 AM,42994,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,6768.386286458576,209.33153463273948,5374.25,6506.999939625458,14962.0,41.0,29937.0,7484.25,7211.115788604886,15054.0,1150.0,28032.0,9344.0,7421.694685178042,14588.0,852.0,0,0,0,0,168,136,116.29529701818859,93.03623761455087,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-51846-80-6,192.168.0.112,51846,1.1.1.1,80,6,13/05/2026 11:06:31 AM,40979,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,7101.198174674833,219.62468581468556,5122.375,6512.923261540419,13554.0,107.0,27425.0,6856.25,7193.616261426979,13301.0,260.0,28243.0,9414.333333333334,7708.561820037077,14669.0,565.0,0,0,0,0,168,136,122.01371434149198,97.61097147319359,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-51862-80-6,192.168.0.112,51862,1.1.1.1,80,6,13/05/2026 11:06:33 AM,41271,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,7050.9558770080685,218.07080031983716,5158.875,6444.845547024381,14145.0,89.0,27126.0,6781.5,7023.32611137107,12993.0,572.0,28478.0,9492.666666666666,7555.122125639885,15063.0,893.0,0,0,0,0,168,136,121.15044462213176,96.9203556977054,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-51876-80-6,192.168.0.112,51876,1.1.1.1,80,6,13/05/2026 11:06:35 AM,38766,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,7506.57792911314,232.1622039931899,4845.75,6416.900447813014,14844.0,90.0,23922.0,5980.5,6587.350377807454,12809.0,251.0,28500.0,9500.0,7928.7115598942055,15359.0,478.0,0,0,0,0,168,136,128.97900221843884,103.18320177475107,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-51880-80-6,192.168.0.112,51880,1.1.1.1,80,6,13/05/2026 11:06:37 AM,44538,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,6533.746463693924,202.07463289775023,5567.25,6742.72771743221,14153.0,68.0,30385.0,7596.25,8075.691399708965,15239.0,309.0,30750.0,10250.0,7090.035472407737,15156.0,2121.0,0,0,0,0,168,136,112.26368494319458,89.81094795455566,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-51894-80-6,192.168.0.112,51894,1.1.1.1,80,6,13/05/2026 11:06:40 AM,39586,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,7351.083716465417,227.35310463295102,4948.25,6463.807231699552,13346.0,0.0,26240.0,6560.0,6948.024323503769,12905.0,148.0,27483.0,9161.0,7965.5883021908685,14454.0,0.0,0,0,0,0,168,136,126.30728035163946,101.04582428131157,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-45468-80-6,192.168.0.112,45468,1.1.1.1,80,6,13/05/2026 11:06:42 AM,41895,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,6945.936269244539,214.82277121374864,5236.875,6148.836136968175,12965.0,113.0,28930.0,7232.5,6801.403899196106,13391.0,209.0,29477.0,9825.666666666666,7881.148414624186,15686.0,866.0,0,0,0,0,168,136,119.34598400763814,95.47678720611052,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-45470-80-6,192.168.0.112,45470,1.1.1.1,80,6,13/05/2026 11:06:44 AM,41991,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,6930.056440665857,214.33164249482033,5248.875,6312.5898791338295,13733.0,112.0,28258.0,7064.5,7427.569566598933,14081.0,610.0,29296.0,9765.333333333334,6839.480560198511,14527.0,1928.0,0,0,0,0,168,136,119.07313471934462,95.25850777547569,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-1.1.1.1-45478-80-6,192.168.0.112,45478,1.1.1.1,80,6,13/05/2026 11:06:48 AM,77548,5,4,72.0,219.0,72.0,0.0,14.4,32.19937887599697,219.0,0.0,54.75,109.5,3752.5145716201578,116.0571516995925,9693.5,9197.20662561659,25910.0,1.0,51638.0,12909.5,9293.528160320313,23676.0,2617.0,61925.0,20641.666666666664,20127.775444229632,40214.0,1.0,0,0,0,0,168,136,64.4761953886625,51.58095631093,0.0,219.0,29.1,70.45636947785488,4964.100000000001,2,2,0,2,8,0,0,0,0.0,32.333333333333336,14.4,54.75,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
