Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.112-172.66.147.243-43594-80-6,192.168.0.112,43594,172.66.147.243,80,6,11/05/2026 08:56:56 PM,58870,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,15576.694411414983,186.8523866145745,5887.0,8630.999607358479,21716.0,-35.0,41270.0,8254.0,10691.4302831754,21758.0,132.0,37154.0,9288.5,9208.814563594311,18662.0,0.0,0,0,0,0,200,168,101.91948360794972,84.93290300662477,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-52538-80-6,192.168.0.112,52538,104.20.23.154,80,6,11/05/2026 08:57:00 PM,38577,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,23770.640537107603,285.143997718848,3857.7,4969.799080445808,11530.0,-92.0,27759.0,5551.8,7312.178724566297,15212.0,123.0,27047.0,6761.75,5097.669949758092,11390.0,0.0,0,0,0,0,200,168,155.53308966482618,129.61090805402182,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-36164-80-6,192.168.0.112,36164,172.66.147.243,80,6,11/05/2026 08:57:03 PM,51058,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,17959.967096243487,215.44126287751186,5105.8,7536.576467099929,17584.0,-120.0,33474.0,6694.8,8449.118397797489,16143.0,194.0,35402.0,8850.5,9581.242108063721,19054.0,1.0,0,0,0,0,200,168,117.51341611500646,97.92784676250538,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-104.20.23.154-52546-80-6,192.168.0.112,52546,104.20.23.154,80,6,11/05/2026 08:57:06 PM,46862,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,19568.09355127822,234.7317656096624,4686.2,6245.296946947804,15423.0,-38.0,35885.0,7177.0,9528.717096230741,20908.0,131.0,33386.0,8346.5,7046.402888472008,15925.0,0.0,0,0,0,0,200,168,128.0355085143613,106.69625709530109,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-40080-80-6,192.168.0.112,40080,172.66.147.243,80,6,11/05/2026 08:57:09 PM,43425,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,21116.86816350029,253.31030512377663,4342.5,5722.34412437576,12851.0,-106.0,30574.0,6114.8,8103.508450048042,17129.0,147.0,31094.0,7773.5,6328.297954426609,13599.0,0.0,0,0,0,0,200,168,138.1692573402418,115.14104778353483,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-40094-80-6,192.168.0.112,40094,172.66.147.243,80,6,11/05/2026 08:57:13 PM,47848,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,19164.85537535529,229.8946664437385,4784.8,5732.216534639982,12334.0,-56.0,36467.0,7293.4,9651.084514188029,21997.0,397.0,35514.0,8878.5,6007.487467041997,12726.0,1.0,0,0,0,0,200,168,125.39709078749372,104.49757565624478,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-172.66.147.243-40106-80-6,192.168.0.112,40106,172.66.147.243,80,6,11/05/2026 08:57:16 PM,39931,6,5,75.0,842.0,75.0,0.0,12.5,30.618621784789728,837.0,0.0,168.4,373.7650331424811,22964.613959079412,275.4751947108763,3993.1000000000004,5302.494935824498,11990.0,-149.0,28793.0,5758.6,7886.670133839756,17133.0,154.0,29002.0,7250.5,5857.723249408994,12211.0,0.0,0,0,0,0,200,168,150.2591971150234,125.21599759585284,0.0,837.0,76.41666666666667,240.48150877064555,57831.35606060607,2,2,0,3,10,0,0,0,0.0,83.36363636363636,12.5,168.4,0,0,0,0,0,0,0,0,0,0,64240,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-151.101.157.91-56140-443-6,192.168.0.112,56140,151.101.157.91,443,6,11/05/2026 08:57:17 PM,191141,10,6,960.0,3493.0,685.0,0.0,96.0,215.1758970392982,2896.0,0.0,582.1666666666667,1152.437142175948,23296.93786262497,83.70783871592175,12742.733333333334,34993.2036615003,138111.0,-70.0,191141.0,21237.88888888889,44161.42880513618,138111.0,286.0,179096.0,35819.2,65343.7967996963,151365.0,0.0,0,0,0,0,316,200,52.317399197451095,31.390439518470657,0.0,2896.0,261.9411764705883,707.835915889784,501031.68382352946,1,2,1,7,14,0,0,0,0.0,278.3125,96.0,582.1666666666666,0,0,0,4453,7,27024,0,0,0,0,64240,282,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56140-6,151.101.157.91,443,192.168.0.112,56140,6,11/05/2026 08:57:18 PM,607,1,1,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,39538.71499176277,3294.8929159802306,607.0,0.0,607.0,607.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,1647.4464579901153,1647.4464579901153,0.0,24.0,16.0,13.856406460551018,192.0,0,0,1,1,1,0,0,0,1.0,24.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56140-6,151.101.157.91,443,192.168.0.112,56140,6,11/05/2026 08:57:18 PM,28,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,35714.28571428572,35714.28571428572,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-151.101.157.91-56164-443-6,192.168.0.112,56164,151.101.157.91,443,6,11/05/2026 08:57:18 PM,59045,9,6,942.0,3506.0,667.0,0.0,104.66666666666669,219.64004643962357,3441.0,0.0,584.3333333333334,1399.7166379902278,75332.37361334576,254.0435261241426,4217.5,6388.521036864599,20126.0,0.0,59045.0,7380.625000000001,7113.8365565685735,20126.0,191.0,46602.0,9320.4,13693.366087270142,31898.0,0.0,0,0,0,0,284,200,152.42611567448557,101.61741044965704,0.0,3441.0,278.0,859.9493008311596,739512.8000000003,1,2,1,6,13,0,0,0,0.0,296.53333333333336,104.66666666666667,584.3333333333334,0,0,0,4448,6,97597,0,0,0,0,64240,282,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.112-151.101.157.91-56156-443-6,192.168.0.112,56156,151.101.157.91,443,6,11/05/2026 08:57:18 PM,74902,9,6,942.0,3506.0,667.0,0.0,104.66666666666669,219.64004643962357,3441.0,0.0,584.3333333333334,1399.7166379902278,59384.26210248058,200.26167525566743,5350.142857142857,8276.751368066532,30617.0,0.0,74902.0,9362.750000000002,9620.09435281915,30617.0,898.0,62230.0,12445.999999999998,16593.865267019613,40041.0,0.0,0,0,0,0,284,200,120.15700515340045,80.10467010226697,0.0,3441.0,278.0,859.9493008311597,739512.8000000004,1,2,1,6,13,0,0,0,0.0,296.53333333333336,104.66666666666667,584.3333333333334,0,0,0,4448,6,77052,0,0,0,0,64240,282,4,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56156-6,151.101.157.91,443,192.168.0.112,56156,6,11/05/2026 08:57:18 PM,30,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,30.0,0.0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56156-6,151.101.157.91,443,192.168.0.112,56156,6,11/05/2026 08:57:18 PM,6,1,1,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,4000000.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,20,166666.66666666666,166666.66666666666,0.0,24.0,16.0,13.856406460551018,192.0,0,0,1,1,1,0,0,0,1.0,24.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56156-6,151.101.157.91,443,192.168.0.112,56156,6,11/05/2026 08:57:18 PM,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56156-6,151.101.157.91,443,192.168.0.112,56156,6,11/05/2026 08:57:18 PM,26,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76923.07692307692,26.0,0.0,26.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,38461.53846153846,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.157.91-192.168.0.112-443-56164-6,151.101.157.91,443,192.168.0.112,56164,6,11/05/2026 08:57:18 PM,179,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11173.1843575419,179.0,0.0,179.0,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,5586.59217877095,5586.59217877095,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,282,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
